location,date,Minimum Temperature,Mean Temperature,Maximum Temperature,Mean Sea Level Pressure,Mean Dew Point,Total Precipitation,Visibility,Snow Depth,Mean Wind Speed,Maximum Sustained Wind Speed,Maximum Wind Gust
Aberdeen,2020-06-01,43.0,53.2,62.1,30.17,44.6,0.01,10.0,,8.17,17.26,
Aberdeen,2020-06-02,43.0,52.5,62.1,30.24,45.7,0.0,10.0,,5.87,13.81,
Aberdeen,2020-06-03,45.0,55.3,62.1,30.23,47.9,0.0,10.0,,7.6,20.83,26.35
Aberdeen,2020-06-04,50.0,55.1,62.1,30.14,47.7,0.0,10.0,,9.09,16.11,19.68
Aberdeen,2020-06-05,46.0,53.8,61.0,29.87,46.3,0.0,10.0,,7.13,17.26,
Aberdeen,2020-06-06,46.0,54.2,61.0,29.81,48.6,0.03,9.7,,9.67,19.68,
Aberdeen,2020-06-07,50.0,54.6,61.0,29.96,47.6,0.29,10.0,,10.47,19.68,29.92
Aberdeen,2020-06-08,51.1,55.5,61.0,30.20,46.9,0.01,10.0,,11.05,21.86,24.17
Aberdeen,2020-06-09,50.0,54.2,60.1,30.13,51.0,0.78,6.1,,14.96,26.35,33.26
Aberdeen,2020-06-10,50.0,57.4,64.0,30.13,54.6,0.55,8.6,,7.71,16.11,24.17
Aberdeen,2020-06-11,54.0,58.1,64.0,30.09,53.7,0.02,10.0,,5.75,12.77,
Aberdeen,2020-06-12,54.0,57.7,64.0,30.04,52.0,0.05,9.7,,7.13,13.81,
Aberdeen,2020-06-13,51.1,54.9,62.1,29.99,49.3,0.41,9.8,,6.44,16.11,
Aberdeen,2020-06-14,48.9,54.8,62.1,30.02,47.6,0.28,9.7,,8.52,16.11,
Aberdeen,2020-06-15,48.9,56.4,62.1,29.94,50.2,0.25,8.9,,10.59,18.3,
Aberdeen,2020-06-16,51.1,55.5,63.0,30.05,49.3,0.46,9.6,,8.06,13.81,
Aberdeen,2020-06-17,50.0,57.0,64.0,30.27,49.7,0.01,10.0,,7.83,17.26,23.02
