location,date,Minimum Temperature,Mean Temperature,Maximum Temperature,Mean Sea Level Pressure,Mean Dew Point,Total Precipitation,Visibility,Snow Depth,Mean Wind Speed,Maximum Sustained Wind Speed,Maximum Wind Gust
Anacortes,2020-06-01,45.5,54.3,63.5,30.14,48.0,0.0,,,4.14,8.06,
Anacortes,2020-06-02,45.1,53.0,64.2,30.20,47.8,0.0,,,3.8,8.06,
Anacortes,2020-06-03,44.2,54.4,61.5,30.22,50.9,0.0,,,2.88,11.39,
Anacortes,2020-06-04,48.6,55.9,64.6,30.11,49.1,0.0,,,4.72,8.06,
Anacortes,2020-06-05,44.2,54.7,64.9,29.85,50.4,0.01,,,4.49,11.39,
Anacortes,2020-06-06,50.0,55.5,63.5,29.76,50.3,0.0,,,4.6,10.24,
Anacortes,2020-06-07,48.4,55.5,65.3,29.88,49.3,0.0,,,3.68,9.21,
Anacortes,2020-06-08,52.2,57.2,63.7,30.11,46.8,0.0,,,8.4,17.26,
Anacortes,2020-06-09,50.9,56.0,61.0,30.09,50.3,0.0,,,8.63,13.81,
Anacortes,2020-06-10,50.7,59.7,70.5,30.10,56.4,0.0,,,4.72,9.21,
Anacortes,2020-06-11,54.1,58.5,68.4,30.06,56.1,0.0,,,3.45,8.06,
Anacortes,2020-06-12,53.4,56.4,69.3,30.00,54.4,0.0,,,2.65,5.87,
Anacortes,2020-06-13,50.7,55.3,62.4,29.95,51.7,0.0,,,2.3,6.9,
Anacortes,2020-06-14,48.6,54.8,63.1,29.97,49.3,0.0,,,6.33,10.24,
Anacortes,2020-06-15,51.8,56.0,63.5,29.91,50.9,0.0,,,6.67,8.06,
Anacortes,2020-06-16,50.2,54.3,60.3,30.01,51.9,0.0,,,2.99,9.21,
Anacortes,2020-06-17,49.6,57.5,67.5,30.22,51.6,0.0,,,4.26,9.21,
Anacortes,2020-06-18,50.2,58.8,68.4,30.25,53.0,0.0,,,4.72,8.06,
Anacortes,2020-06-19,48.7,60.7,73.2,30.02,55.1,0.0,,,2.88,8.06,
Anacortes,2020-06-20,58.8,64.2,71.2,29.91,59.0,0.0,,,4.6,10.24,
Anacortes,2020-06-21,53.4,59.6,65.1,30.06,56.4,0.0,,,5.18,6.9,
Anacortes,2020-06-22,46.9,58.4,69.3,30.21,51.6,0.0,,,3.91,9.21,
Anacortes,2020-06-23,50.9,61.8,71.8,30.08,55.8,0.0,,,3.45,9.21,
Anacortes,2020-06-24,56.8,62.4,72.7,29.93,58.6,0.0,,,3.91,8.06,
Anacortes,2020-06-25,50.5,60.6,71.6,30.05,57.1,0.05,,,4.03,10.24,
Anacortes,2020-06-26,52.5,61.3,71.1,30.05,54.9,0.0,,,5.87,10.24,
Anacortes,2020-06-27,50.9,57.6,63.7,29.98,53.3,0.0,,,5.18,9.21,
Anacortes,2020-06-28,52.3,57.9,66.2,29.88,52.7,0.01,,,5.75,11.39,
Anacortes,2020-06-29,48.7,60.1,70.7,29.94,54.2,0.02,,,5.18,10.24,
Anacortes,2020-06-30,55.4,61.1,72.9,29.96,53.4,0.0,,,7.36,10.24,
Anacortes,2020-07-01,52.9,56.2,64.0,29.95,52.7,0.02,,,6.1,9.21,
Anacortes,2020-07-02,53.1,55.6,60.6,29.95,53.9,0.36,,,5.75,11.39,
Anacortes,2020-07-03,51.1,55.4,61.5,30.04,53.5,0.0,,,2.65,6.9,
Anacortes,2020-07-04,54.0,58.4,66.6,30.17,55.2,0.0,,,5.06,9.21,
Anacortes,2020-07-05,45.1,57.9,69.1,30.17,52.6,0.0,,,3.45,8.06,
Anacortes,2020-07-06,49.1,59.1,69.3,30.07,52.0,0.0,,,3.91,6.9,
Anacortes,2020-07-07,54.9,59.9,67.1,30.04,52.4,0.0,,,4.83,8.06,
Anacortes,2020-07-08,53.4,60.8,68.7,30.10,54.1,0.0,,,4.14,9.21,
Anacortes,2020-07-09,54.9,60.0,70.7,30.01,56.0,0.0,,,3.68,9.21,
Anacortes,2020-07-10,55.2,60.9,71.2,30.11,53.5,0.0,,,3.8,6.9,
Anacortes,2020-07-11,48.6,58.2,67.3,30.11,52.9,0.0,,,3.8,10.24,
Anacortes,2020-07-12,54.5,60.7,68.2,30.12,54.7,0.01,,,4.14,8.06,
Anacortes,2020-07-13,47.1,57.4,68.0,30.14,51.4,0.0,,,5.18,11.39,
Anacortes,2020-07-14,45.7,59.1,71.1,30.14,52.6,0.0,,,4.14,9.21,
Anacortes,2020-07-15,52.0,62.2,73.9,30.13,55.4,0.0,,,4.83,9.21,
Anacortes,2020-07-16,56.1,63.7,74.3,30.04,58.5,0.0,,,5.29,10.24,
Anacortes,2020-07-17,56.5,63.4,73.2,30.03,55.8,0.0,,,5.87,8.06,
Anacortes,2020-07-18,51.3,62.1,71.4,30.18,55.1,0.0,,,3.8,12.77,
Anacortes,2020-07-19,52.5,62.9,70.5,30.12,58.2,0.0,,,5.06,14.96,
Anacortes,2020-07-20,54.5,65.6,74.5,30.03,61.4,0.0,,,7.48,13.81,
Anacortes,2020-07-21,54.9,65.7,76.1,29.91,58.8,0.0,,,4.72,11.39,
Anacortes,2020-07-22,58.3,64.7,75.4,29.86,58.5,0.0,,,5.41,6.9,
Anacortes,2020-07-23,56.1,60.9,71.6,29.94,55.6,0.0,,,4.83,9.21,
Anacortes,2020-07-24,56.5,60.2,68.9,30.03,53.0,0.0,,,5.75,9.21,
Anacortes,2020-07-25,45.5,57.8,69.3,30.14,51.1,0.0,,,4.83,11.39,
Anacortes,2020-07-26,48.4,60.3,75.0,30.12,54.7,0.0,,,5.29,12.77,
Anacortes,2020-07-27,55.0,66.3,77.4,29.93,59.7,0.0,,,6.21,13.81,
Anacortes,2020-07-28,54.7,65.2,77.4,29.89,56.4,0.0,,,5.64,10.24,
Anacortes,2020-07-29,49.6,60.9,74.3,29.93,52.1,0.0,,,4.6,10.24,
Anacortes,2020-07-30,50.5,62.8,75.6,29.97,54.9,0.0,,,4.49,11.39,
Anacortes,2020-07-31,57.4,66.8,76.5,29.92,56.1,0.0,,,5.18,10.24,
Anacortes,2020-08-01,53.6,63.8,76.5,30.08,57.2,0.0,,,4.49,8.06,
Anacortes,2020-08-02,52.5,64.9,77.4,30.06,57.1,0.0,,,4.6,8.06,
Anacortes,2020-08-03,54.7,65.8,75.6,30.12,58.3,0.0,,,4.83,10.24,
Anacortes,2020-08-04,53.2,63.8,75.0,30.11,59.5,0.0,,,4.37,11.39,
Anacortes,2020-08-05,52.2,62.4,73.4,29.96,55.5,0.0,,,5.52,9.21,
Anacortes,2020-08-06,54.7,63.0,74.7,29.87,56.3,0.0,,,6.79,12.77,
Anacortes,2020-08-07,56.8,63.2,72.3,30.11,54.2,0.0,,,7.25,12.77,
Anacortes,2020-08-08,57.0,60.9,67.3,30.17,57.7,0.03,,,4.14,11.39,
Anacortes,2020-08-09,47.1,58.4,69.1,30.25,53.6,0.0,,,4.49,13.81,
Anacortes,2020-08-10,52.2,61.0,69.6,30.16,55.6,0.0,,,5.64,13.81,
Anacortes,2020-08-11,48.2,59.1,71.4,29.96,55.0,0.0,,,5.18,12.77,
Anacortes,2020-08-12,50.7,58.6,70.0,29.97,50.1,0.0,,,4.72,9.21,
Anacortes,2020-08-13,46.4,57.8,68.7,30.11,49.5,0.0,,,4.6,8.06,
Anacortes,2020-08-14,46.9,59.7,70.7,30.20,51.5,0.0,,,4.6,10.24,
Anacortes,2020-08-15,51.4,62.5,72.3,30.10,56.1,0.0,,,4.83,12.77,
Anacortes,2020-08-16,53.8,66.0,77.0,29.88,60.1,0.0,,,5.52,12.77,
Anacortes,2020-08-17,60.4,70.6,79.7,29.97,60.4,0.0,,,4.95,10.24,
Anacortes,2020-08-18,55.9,65.2,77.5,30.06,59.0,0.0,,,5.29,8.06,
Anacortes,2020-08-19,53.4,63.7,72.9,30.02,58.4,0.0,,,4.6,10.24,
Anacortes,2020-08-20,60.1,67.1,80.1,29.86,60.3,0.0,,,7.48,14.96,
