location,date,Minimum Temperature,Mean Temperature,Maximum Temperature,Mean Sea Level Pressure,Mean Dew Point,Total Precipitation,Visibility,Snow Depth,Mean Wind Speed,Maximum Sustained Wind Speed,Maximum Wind Gust
Auburn,2020-06-01,48.9,57.1,68.0,30.15,44.4,0.07,10.0,,7.13,11.39,
Auburn,2020-06-02,50.0,58.8,68.0,30.21,45.4,0.0,10.0,,7.25,10.24,
Auburn,2020-06-03,50.0,56.2,66.0,30.23,47.9,0.0,10.0,,4.26,9.21,
Auburn,2020-06-04,50.0,59.0,70.0,30.12,44.6,0.0,10.0,,5.98,13.81,
Auburn,2020-06-05,51.1,58.3,70.0,29.86,46.6,0.0,10.0,,7.6,13.81,
Auburn,2020-06-06,51.1,57.3,66.0,29.78,47.0,0.0,10.0,,8.86,16.11,20.83
Auburn,2020-06-07,50.0,54.5,64.0,29.93,47.5,0.02,9.8,,9.32,14.96,19.68
Auburn,2020-06-08,50.0,57.2,64.0,30.15,45.4,0.01,10.0,,13.23,18.3,24.17
Auburn,2020-06-09,51.1,55.9,64.0,30.14,49.6,0.06,7.3,,8.4,17.26,25.32
Auburn,2020-06-10,51.1,60.2,72.0,30.13,56.0,0.42,8.4,,5.64,12.77,
Auburn,2020-06-11,55.0,61.8,72.0,30.09,53.4,0.02,9.8,,5.64,8.06,
Auburn,2020-06-12,53.1,59.5,71.1,30.03,51.1,0.12,9.2,,6.56,12.77,
Auburn,2020-06-13,52.0,56.2,63.0,29.98,50.2,0.31,9.5,,6.67,16.11,25.32
Auburn,2020-06-14,48.9,56.0,66.9,30.01,46.4,0.07,10.0,,10.82,16.11,
Auburn,2020-06-15,48.9,57.9,66.9,29.95,48.7,0.02,9.5,,8.17,17.26,21.86
Auburn,2020-06-16,51.1,56.5,68.0,30.04,47.9,0.17,10.0,,7.6,17.26,23.02
Auburn,2020-06-17,50.0,60.4,73.0,30.25,48.0,0.01,10.0,,6.56,14.96,
Auburn,2020-06-18,50.0,63.9,77.0,30.25,50.9,0.0,10.0,,6.9,12.77,
Auburn,2020-06-19,53.1,68.1,81.0,30.04,51.8,0.0,10.0,,5.75,12.77,
Auburn,2020-06-20,55.9,67.3,81.0,29.95,55.2,0.0,9.5,,6.67,14.96,
Auburn,2020-06-21,57.0,63.1,73.9,30.09,54.6,0.03,9.9,,9.9,14.96,
Auburn,2020-06-22,52.0,63.1,79.0,30.22,49.8,0.0,10.0,,6.79,11.39,
Auburn,2020-06-23,52.0,70.4,84.9,30.09,47.5,0.0,10.0,,7.71,13.81,
Auburn,2020-06-24,57.9,68.6,84.9,29.96,57.0,0.0,10.0,,8.06,16.11,24.17
Auburn,2020-06-25,55.9,66.7,81.0,30.06,56.4,0.0,9.4,,6.67,12.77,
Auburn,2020-06-26,55.9,70.1,82.0,30.06,54.5,0.0,10.0,,5.64,11.39,
Auburn,2020-06-27,55.4,62.5,79.0,30.00,53.9,0.12,7.6,,6.67,13.81,23.02
Auburn,2020-06-28,52.0,58.1,71.1,29.91,50.2,0.78,8.9,,8.17,14.96,23.02
Auburn,2020-06-29,52.0,61.7,72.0,29.98,51.8,0.34,10.0,,7.94,14.96,20.83
Auburn,2020-06-30,54.0,60.2,72.0,29.99,51.7,0.02,8.1,,12.31,18.3,24.17
Auburn,2020-07-01,54.0,58.5,66.0,29.98,48.9,0.11,9.7,,13.35,19.68,25.32
Auburn,2020-07-02,54.0,58.5,66.9,29.99,49.9,0.01,9.9,,13.35,19.68,26.35
Auburn,2020-07-03,55.0,59.9,66.9,30.07,49.7,0.0,10.0,,7.6,14.96,
Auburn,2020-07-04,54.0,60.3,71.1,30.19,50.9,0.0,9.6,,3.91,9.21,
Auburn,2020-07-05,54.0,63.4,73.9,30.20,49.4,0.0,9.2,,6.21,9.21,
Auburn,2020-07-06,55.0,63.2,73.9,30.09,49.4,0.0,10.0,,5.98,10.24,17.26
Auburn,2020-07-07,55.0,61.7,72.0,30.06,50.8,0.0,10.0,,10.82,16.11,21.86
Auburn,2020-07-08,55.9,62.2,73.0,30.11,53.6,0.0,10.0,,5.98,10.24,
Auburn,2020-07-09,55.9,63.8,73.0,30.04,53.2,0.0,10.0,,6.33,11.39,
Auburn,2020-07-10,54.0,62.2,73.0,30.14,52.0,0.01,10.0,,6.1,11.39,
Auburn,2020-07-11,54.0,63.1,73.0,30.14,52.2,0.0,10.0,,7.02,14.96,23.02
Auburn,2020-07-12,54.0,62.1,71.1,30.15,53.6,0.0,9.5,,8.98,14.96,
Auburn,2020-07-13,55.0,63.9,75.9,30.15,47.5,0.0,10.0,,10.01,18.3,24.17
Auburn,2020-07-14,54.0,66.8,81.0,30.15,47.1,0.0,10.0,,7.94,13.81,
Auburn,2020-07-15,54.0,70.5,84.0,30.15,49.2,0.0,10.0,,6.44,12.77,
Auburn,2020-07-16,57.0,68.8,84.0,30.06,56.2,0.0,10.0,,7.71,11.39,
Auburn,2020-07-17,57.9,65.0,77.0,30.06,57.8,0.01,7.2,,5.64,9.21,
Auburn,2020-07-18,57.0,66.0,80.1,30.20,53.3,0.12,10.0,,6.44,17.26,23.02
Auburn,2020-07-19,57.0,71.6,84.0,30.13,55.0,0.0,10.0,,7.83,17.26,
Auburn,2020-07-20,59.0,74.3,87.1,30.04,58.2,0.0,10.0,,7.94,14.96,18.3
Auburn,2020-07-21,62.1,72.5,87.1,29.94,58.4,0.0,10.0,,7.13,11.39,
Auburn,2020-07-22,59.0,66.0,81.0,29.88,58.4,0.0,7.6,,6.33,9.21,
Auburn,2020-07-23,57.9,63.3,73.0,29.96,54.4,0.02,10.0,,7.48,10.24,
Auburn,2020-07-24,55.9,62.3,72.0,30.06,51.9,0.0,10.0,,7.25,11.39,
Auburn,2020-07-25,55.9,64.9,78.1,30.15,49.6,0.0,10.0,,8.75,13.81,18.3
Auburn,2020-07-26,55.9,70.5,88.0,30.12,51.0,0.0,10.0,,9.9,13.81,
Auburn,2020-07-27,59.0,77.4,93.9,29.94,55.8,0.0,10.0,,5.29,11.39,
Auburn,2020-07-28,57.2,71.8,93.0,29.91,54.8,0.0,10.0,,6.79,11.39,
Auburn,2020-07-29,55.9,69.0,86.0,29.94,54.5,0.0,10.0,,3.8,10.24,
Auburn,2020-07-30,55.9,74.5,90.0,29.98,50.8,0.0,10.0,,7.25,11.39,
Auburn,2020-07-31,61.0,73.7,90.0,29.96,54.0,0.0,10.0,,7.48,12.77,
Auburn,2020-08-01,57.9,65.5,82.9,30.11,55.2,0.0,10.0,,6.44,11.39,
Auburn,2020-08-02,57.0,68.4,82.0,30.10,54.8,0.0,10.0,,5.29,13.81,17.26
Auburn,2020-08-03,57.0,69.1,82.0,30.14,56.3,0.0,10.0,,5.98,10.24,
Auburn,2020-08-04,60.1,71.8,84.0,30.12,57.3,0.0,10.0,,7.94,14.96,20.83
Auburn,2020-08-05,59.0,70.8,84.0,29.98,55.7,0.0,10.0,,5.98,13.81,
Auburn,2020-08-06,59.0,65.9,81.0,29.91,55.1,0.0,9.2,,10.47,18.3,25.32
Auburn,2020-08-07,57.9,62.6,75.0,30.15,51.6,0.08,10.0,,7.94,18.3,
Auburn,2020-08-08,57.2,62.2,75.0,30.18,55.0,0.0,8.4,,3.22,10.24,
Auburn,2020-08-09,53.1,63.8,77.0,30.27,50.4,0.01,10.0,,7.36,11.39,19.68
Auburn,2020-08-10,53.1,68.3,82.0,30.18,52.1,0.0,10.0,,6.21,12.77,17.26
Auburn,2020-08-11,55.9,66.3,82.0,29.98,53.4,0.0,10.0,,7.6,11.39,
Auburn,2020-08-12,55.0,61.4,75.9,30.01,46.6,0.0,10.0,,6.9,11.39,
Auburn,2020-08-13,52.0,62.5,75.0,30.14,45.7,0.0,10.0,,5.64,10.24,
Auburn,2020-08-14,52.0,66.7,81.0,30.21,46.7,0.0,10.0,,8.75,13.81,16.11
Auburn,2020-08-15,55.0,72.5,88.0,30.10,51.2,0.0,10.0,,10.47,14.96,
Auburn,2020-08-16,61.0,77.3,97.0,29.91,56.0,0.0,10.0,,5.64,11.39,17.26
Auburn,2020-08-17,63.0,78.4,98.1,30.01,54.3,0.0,10.0,,7.83,12.77,
Auburn,2020-08-18,61.0,71.2,88.0,30.08,57.5,0.0,10.0,,5.98,13.81,18.3
Auburn,2020-08-19,59.0,69.0,82.9,30.03,56.7,0.0,10.0,,4.49,10.24,
Auburn,2020-08-20,59.0,70.5,82.9,29.92,56.2,0.0,10.0,,7.48,11.39,
Auburn,2020-08-21,62.1,69.0,80.1,29.83,61.6,0.08,9.5,,8.29,18.3,28.88
Auburn,2020-08-22,57.9,65.0,75.0,30.07,56.3,0.11,10.0,,9.09,13.81,
Auburn,2020-08-23,55.0,64.9,77.0,30.04,49.4,0.01,10.0,,9.21,16.11,20.83
Auburn,2020-08-24,55.0,65.4,77.0,29.98,49.3,0.0,10.0,,7.02,11.39,
Auburn,2020-08-25,54.0,65.3,78.1,29.99,49.8,0.0,10.0,,6.1,12.77,
Auburn,2020-08-26,54.0,67.4,78.1,30.01,50.5,0.0,10.0,,7.48,14.96,
Auburn,2020-08-27,55.0,66.5,80.1,30.02,49.8,0.0,10.0,,5.52,14.96,
Auburn,2020-08-28,55.0,67.6,81.0,30.05,52.5,0.0,10.0,,7.6,12.77,
Auburn,2020-08-29,57.9,65.9,78.1,30.03,53.6,0.0,10.0,,7.13,13.81,
Auburn,2020-08-30,51.1,60.9,73.0,30.14,48.9,0.0,10.0,,4.83,11.39,
Auburn,2020-08-31,51.1,61.3,73.0,30.11,51.4,0.02,8.5,,4.83,11.39,
Auburn,2020-09-01,54.0,65.5,80.1,30.18,52.5,0.0,10.0,,4.95,14.96,19.68
Auburn,2020-09-02,55.9,69.8,81.0,30.11,56.7,0.0,10.0,,4.95,13.81,
Auburn,2020-09-03,55.9,69.1,84.0,30.14,55.6,0.0,10.0,,9.44,14.96,21.86
Auburn,2020-09-04,55.9,71.3,84.0,30.02,54.2,0.0,10.0,,8.06,14.96,
Auburn,2020-09-05,59.0,65.4,82.9,30.15,54.4,0.0,10.0,,6.56,10.24,
Auburn,2020-09-06,55.9,65.8,81.0,30.27,55.2,0.0,9.9,,7.36,12.77,
Auburn,2020-09-07,61.0,70.3,84.0,30.16,54.0,0.0,10.0,,11.16,24.17,34.41
Auburn,2020-09-08,64.0,72.8,82.9,,30.9,0.0,8.8,,16.92,26.35,34.41
Auburn,2020-09-09,60.1,71.4,87.1,,42.7,0.0,8.0,,12.89,,
Auburn,2020-09-10,61.0,75.6,91.0,,47.9,0.0,9.4,,8.17,13.81,
Auburn,2020-09-11,53.1,65.4,86.0,,50.5,0.0,5.0,,6.56,,
Auburn,2020-09-12,51.8,58.7,73.4,,51.3,0.0,1.5,,4.83,9.21,
Auburn,2020-09-13,50.0,55.4,63.0,29.94,52.0,0.0,1.0,,2.88,6.9,
Auburn,2020-09-14,55.0,59.8,66.9,29.95,54.9,0.0,1.2,,2.3,5.87,
Auburn,2020-09-15,60.8,65.2,75.0,30.08,59.1,0.05,1.2,,3.34,8.06,
Auburn,2020-09-16,59.0,65.7,75.0,30.05,59.3,0.01,1.2,,4.95,11.39,
Auburn,2020-09-17,59.0,66.3,73.9,30.02,60.2,0.0,2.8,,4.49,10.24,
Auburn,2020-09-18,59.0,63.8,73.9,29.93,59.8,0.0,2.5,,5.52,10.24,
Auburn,2020-09-19,60.1,62.8,71.1,30.01,58.4,0.3,7.7,,8.75,16.11,
Auburn,2020-09-20,57.9,62.1,72.0,30.10,56.7,0.04,8.3,,4.72,12.77,
Auburn,2020-09-21,54.0,61.2,71.1,29.99,53.8,0.07,9.9,,3.34,8.06,
Auburn,2020-09-22,54.0,64.5,73.0,30.01,54.7,0.11,9.5,,6.21,11.39,
Auburn,2020-09-23,57.9,62.9,73.0,29.88,55.4,0.12,8.7,,8.29,17.26,25.32
Auburn,2020-09-24,57.9,60.5,66.0,29.90,55.1,0.96,9.0,,14.04,18.3,26.35
Auburn,2020-09-25,55.9,59.1,63.0,29.86,53.5,0.11,8.6,,12.43,20.83,32.22
Auburn,2020-09-26,53.1,57.5,64.9,30.09,51.0,0.75,10.0,,10.93,16.11,21.86
Auburn,2020-09-27,53.1,58.6,70.0,30.37,52.1,0.0,9.7,,6.33,14.96,
Auburn,2020-09-28,52.0,60.8,75.9,30.38,50.4,0.0,10.0,,7.6,11.39,
Auburn,2020-09-29,52.0,63.8,80.1,30.14,53.3,0.0,10.0,,10.24,17.26,
Auburn,2020-09-30,54.0,64.6,80.1,30.14,56.0,0.0,9.8,,1.96,6.9,
Auburn,2021-06-01,54.0,71.2,86.0,30.11,51.7,0.0,10.0,,9.55,14.96,
Auburn,2021-06-02,57.9,73.3,86.0,29.93,55.3,0.0,10.0,,5.75,10.24,
Auburn,2021-06-03,55.9,66.8,84.9,29.97,55.1,0.0,10.0,,6.67,10.24,17.26
Auburn,2021-06-04,51.1,59.2,75.0,30.05,50.0,0.0,10.0,,7.25,11.39,
Auburn,2021-06-05,51.1,59.9,68.0,30.00,44.5,0.0,10.0,,13.58,21.86,34.41
Auburn,2021-06-06,48.0,52.0,66.0,30.03,43.0,0.0,9.9,,11.97,19.68,25.32
Auburn,2021-06-07,44.1,50.5,63.0,29.92,43.9,0.46,8.7,,9.55,17.26,24.17
Auburn,2021-06-08,44.1,56.4,69.1,29.96,41.6,0.11,10.0,,5.52,11.39,
Auburn,2021-06-09,46.0,55.8,69.1,30.11,42.6,0.01,9.8,,7.83,12.77,
Auburn,2021-06-10,46.0,56.8,68.0,30.15,43.5,0.0,10.0,,8.06,13.81,
Auburn,2021-06-11,48.0,57.3,64.9,30.02,44.8,0.0,9.2,,4.83,9.21,
Auburn,2021-06-12,50.0,59.0,73.0,29.98,52.2,0.46,8.8,,5.18,11.39,
Auburn,2021-06-13,50.0,62.2,73.0,29.88,55.3,0.34,8.9,,7.13,13.81,25.32
Auburn,2021-06-14,57.0,59.3,64.0,29.99,57.5,0.6,7.4,,5.29,9.21,
Auburn,2021-06-15,53.1,60.0,69.1,30.12,51.8,0.04,10.0,,8.06,17.26,
Auburn,2021-06-16,52.0,60.2,72.0,30.35,50.1,0.0,10.0,,7.48,13.81,
Auburn,2021-06-17,52.0,64.6,78.1,30.22,47.2,0.0,10.0,,7.71,13.81,
Auburn,2021-06-18,53.1,65.3,79.0,30.12,45.3,0.0,10.0,,9.67,14.96,
Auburn,2021-06-19,54.0,62.8,75.9,30.10,49.0,0.0,10.0,,7.83,13.81,
Auburn,2021-06-20,54.0,68.9,81.0,30.03,53.6,0.0,10.0,,9.9,12.77,
Auburn,2021-06-21,57.9,73.8,89.1,29.91,53.5,0.0,10.0,,7.94,12.77,
Auburn,2021-06-22,57.9,70.7,89.1,29.86,55.0,0.0,10.0,,7.36,11.39,18.3
Auburn,2021-06-23,55.0,63.3,75.9,29.91,54.7,0.0,10.0,,7.71,11.39,
Auburn,2021-06-24,55.0,66.8,82.9,30.03,54.6,0.0,10.0,,5.18,12.77,
Auburn,2021-06-25,55.0,74.4,87.1,30.05,57.0,0.0,10.0,,8.4,12.77,
Auburn,2021-06-26,64.0,82.8,100.9,29.99,61.5,0.0,10.0,,5.18,10.24,
