location,date,Minimum Temperature,Mean Temperature,Maximum Temperature,Mean Sea Level Pressure,Mean Dew Point,Total Precipitation,Visibility,Snow Depth,Mean Wind Speed,Maximum Sustained Wind Speed,Maximum Wind Gust
Bonney%20Lake,2020-06-01,44.6,55.5,68.0,,45.1,0.0,10.0,,0.58,5.87,11.39
Bonney%20Lake,2020-06-02,42.8,56.8,69.8,,43.6,,10.0,,1.27,9.21,14.96
Bonney%20Lake,2020-06-03,46.4,55.3,66.2,,49.5,,10.0,,0.23,5.87,
Bonney%20Lake,2020-06-04,48.2,58.3,68.0,,47.7,0.0,10.0,,0.81,4.72,
Bonney%20Lake,2020-06-05,48.2,57.7,68.0,,47.7,0.0,10.0,,0.46,5.87,12.77
Bonney%20Lake,2020-06-06,48.2,56.5,66.2,,46.9,,9.6,,2.42,11.39,16.11
Bonney%20Lake,2020-06-07,50.0,53.1,60.8,,49.0,,9.8,,2.88,9.21,16.11
Bonney%20Lake,2020-06-08,50.0,54.8,62.6,,48.2,,9.9,,4.49,12.77,16.11
Bonney%20Lake,2020-06-09,50.0,55.7,66.2,,51.0,,8.3,,2.88,11.39,16.11
Bonney%20Lake,2020-06-10,55.4,61.6,75.2,,57.7,,9.5,,1.84,9.21,13.81
Bonney%20Lake,2020-06-11,57.2,61.9,69.8,,56.8,,9.7,,0.0,4.72,
Bonney%20Lake,2020-06-12,53.6,58.9,69.8,,55.1,,9.0,,1.15,6.9,
Bonney%20Lake,2020-06-13,50.0,55.1,60.8,,52.3,,9.5,,1.84,8.06,14.96
Bonney%20Lake,2020-06-14,48.2,54.0,64.4,,47.5,0.0,10.0,,2.53,9.21,13.81
Bonney%20Lake,2020-06-15,51.8,56.4,64.4,,51.1,,9.0,,1.73,8.06,12.77
Bonney%20Lake,2020-06-16,50.0,55.5,66.2,,50.1,,10.0,,1.61,9.21,16.11
Bonney%20Lake,2020-06-17,46.4,57.1,73.4,,50.2,0.0,10.0,,0.23,5.87,11.39
Bonney%20Lake,2020-06-18,46.4,61.2,77.0,,52.2,0.0,9.8,,1.5,6.9,13.81
Bonney%20Lake,2020-06-19,48.2,65.0,82.4,,52.1,,9.7,,0.69,6.9,12.77
Bonney%20Lake,2020-06-20,60.8,67.2,80.6,,57.1,,9.8,,0.69,8.06,12.77
Bonney%20Lake,2020-06-21,55.4,62.9,71.6,,57.2,,10.0,,3.22,9.21,14.96
Bonney%20Lake,2020-06-22,48.2,61.3,78.8,,52.2,0.0,10.0,,1.04,5.87,11.39
Bonney%20Lake,2020-06-23,51.8,68.1,84.2,,51.3,0.0,10.0,,0.81,4.72,12.77
Bonney%20Lake,2020-06-24,59.0,68.7,82.4,,60.1,0.0,10.0,,2.07,8.06,14.96
Bonney%20Lake,2020-06-25,55.4,66.2,78.8,,58.9,0.0,10.0,,0.92,6.9,13.81
Bonney%20Lake,2020-06-26,53.6,67.9,82.4,,57.5,0.0,9.9,,1.73,8.06,14.96
Bonney%20Lake,2020-06-27,57.2,63.9,78.8,,55.5,0.0,10.0,,6.44,13.81,21.86
Bonney%20Lake,2020-06-28,51.8,56.7,69.8,,51.2,,9.3,,3.45,11.39,20.83
