location,date,Minimum Temperature,Mean Temperature,Maximum Temperature,Mean Sea Level Pressure,Mean Dew Point,Total Precipitation,Visibility,Snow Depth,Mean Wind Speed,Maximum Sustained Wind Speed,Maximum Wind Gust
Bremerton,2020-06-01,48.0,54.6,66.9,30.15,45.9,0.14,10.0,,4.37,11.39,
Bremerton,2020-06-02,44.1,54.8,66.9,30.21,46.3,0.0,10.0,,4.95,11.39,
Bremerton,2020-06-03,44.1,54.9,64.9,30.22,47.8,0.0,10.0,,4.49,10.24,
Bremerton,2020-06-04,46.9,56.2,66.0,30.12,46.9,0.0,10.0,,3.34,8.06,
Bremerton,2020-06-05,46.0,56.9,66.0,29.85,48.0,0.0,10.0,,4.37,10.24,
Bremerton,2020-06-06,46.0,53.6,66.9,29.78,47.1,0.0,10.0,,7.02,16.11,23.02
Bremerton,2020-06-07,46.0,52.0,60.1,29.92,48.6,0.09,9.7,,4.72,12.77,
Bremerton,2020-06-08,44.1,53.6,62.1,30.14,46.0,0.32,9.9,,6.33,20.83,26.35
Bremerton,2020-06-09,44.1,53.0,62.1,30.13,49.7,0.04,8.0,,8.29,17.26,25.32
Bremerton,2020-06-10,48.9,57.9,69.1,30.13,54.6,0.65,9.8,,6.67,16.11,24.17
Bremerton,2020-06-11,52.0,60.6,72.0,30.08,53.3,0.01,10.0,,5.75,11.39,
Bremerton,2020-06-12,53.1,57.8,72.0,30.01,52.6,0.05,9.9,,5.98,12.77,
Bremerton,2020-06-13,50.0,55.4,63.0,29.97,49.6,0.13,10.0,,6.1,19.68,27.73
Bremerton,2020-06-14,43.0,53.2,64.9,30.00,46.0,0.0,10.0,,6.9,16.11,24.17
Bremerton,2020-06-15,43.0,55.7,64.9,29.94,49.6,0.0,9.8,,6.21,23.02,32.22
Bremerton,2020-06-16,48.2,55.1,64.0,30.04,47.5,0.14,10.0,,6.1,16.11,24.17
Bremerton,2020-06-17,44.1,55.9,72.0,30.25,47.8,0.0,8.7,,3.11,9.21,
Bremerton,2020-06-18,44.1,60.9,75.9,30.25,51.4,0.0,9.6,,3.68,8.06,
Bremerton,2020-06-19,45.0,65.9,81.0,30.03,52.8,0.0,10.0,,1.96,11.39,
Bremerton,2020-06-20,50.0,63.8,81.0,29.93,57.4,0.0,9.5,,6.67,14.96,19.68
Bremerton,2020-06-21,54.0,59.4,68.0,30.10,55.2,0.11,9.1,,6.79,13.81,23.02
Bremerton,2020-06-22,44.1,59.5,78.1,30.22,50.3,0.01,10.0,,3.34,11.39,
Bremerton,2020-06-23,44.1,68.1,84.9,30.08,51.4,0.0,10.0,,5.64,11.39,19.68
Bremerton,2020-06-24,51.1,65.6,84.9,29.94,58.7,0.0,10.0,,4.83,11.39,
Bremerton,2020-06-25,50.0,63.7,80.1,30.06,56.3,0.0,7.6,,3.11,9.21,
Bremerton,2020-06-26,50.0,67.2,82.0,30.05,54.4,0.0,9.5,,3.11,11.39,
Bremerton,2020-06-27,50.0,58.7,82.0,29.99,54.5,0.0,7.9,,5.98,13.81,17.26
Bremerton,2020-06-28,51.1,55.7,69.1,29.90,51.9,0.11,9.8,,5.64,11.39,
Bremerton,2020-06-29,50.0,59.5,70.0,29.98,53.4,0.03,10.0,,6.67,14.96,21.86
