location,date,Minimum Temperature,Mean Temperature,Maximum Temperature,Mean Sea Level Pressure,Mean Dew Point,Total Precipitation,Visibility,Snow Depth,Mean Wind Speed,Maximum Sustained Wind Speed,Maximum Wind Gust
"Camas,%20Clark%20County",2020-06-01,45.0,58.3,72.0,30.11,42.2,0.0,10.0,,2.99,6.9,16.11
"Camas,%20Clark%20County",2020-06-02,45.0,62.2,79.0,30.18,43.4,0.0,10.0,,2.99,8.06,
"Camas,%20Clark%20County",2020-06-03,46.9,62.4,79.0,30.16,45.3,0.0,10.0,,4.03,9.21,18.3
"Camas,%20Clark%20County",2020-06-04,50.0,62.3,75.0,30.08,44.7,0.0,10.0,,3.34,8.06,
"Camas,%20Clark%20County",2020-06-05,50.0,62.9,73.9,29.79,47.5,0.0,10.0,,2.99,8.06,
"Camas,%20Clark%20County",2020-06-06,51.1,56.1,70.0,29.81,48.4,0.35,8.6,,2.99,11.39,24.17
"Camas,%20Clark%20County",2020-06-07,50.0,53.5,63.0,29.97,45.6,0.73,9.3,,6.67,11.39,20.83
"Camas,%20Clark%20County",2020-06-08,50.0,56.9,64.0,30.22,46.7,0.16,9.6,,4.72,10.24,
"Camas,%20Clark%20County",2020-06-09,51.8,56.1,63.0,30.18,50.6,0.67,8.0,,4.72,10.24,
"Camas,%20Clark%20County",2020-06-10,52.0,65.2,79.0,30.11,57.1,0.22,9.5,,4.49,11.39,18.3
"Camas,%20Clark%20County",2020-06-11,60.1,67.9,79.0,30.04,52.7,0.06,9.9,,2.53,6.9,
"Camas,%20Clark%20County",2020-06-12,55.9,62.2,75.9,30.01,51.6,0.02,9.2,,3.68,9.21,
"Camas,%20Clark%20County",2020-06-13,54.0,56.5,62.1,30.00,49.4,0.15,9.6,,5.75,13.81,
"Camas,%20Clark%20County",2020-06-14,51.1,57.7,69.1,30.03,47.2,0.15,9.9,,2.99,10.24,18.3
"Camas,%20Clark%20County",2020-06-15,51.1,60.4,69.1,29.95,50.0,0.17,9.8,,5.29,11.39,
"Camas,%20Clark%20County",2020-06-16,53.1,57.3,64.9,30.03,48.6,0.25,9.0,,3.34,12.77,
"Camas,%20Clark%20County",2020-06-17,51.1,60.5,72.0,30.24,49.8,0.4,10.0,,2.07,9.21,
"Camas,%20Clark%20County",2020-06-18,48.9,63.7,80.1,30.19,49.8,0.0,10.0,,2.88,6.9,
"Camas,%20Clark%20County",2020-06-19,48.9,69.5,87.1,29.97,50.7,0.0,10.0,,2.88,6.9,
"Camas,%20Clark%20County",2020-06-20,53.1,69.1,87.1,29.94,54.8,0.0,8.9,,2.99,8.06,
"Camas,%20Clark%20County",2020-06-21,60.8,67.2,75.9,30.09,54.7,0.24,10.0,,2.88,8.06,
"Camas,%20Clark%20County",2020-06-22,52.0,67.0,84.9,30.15,50.9,0.0,10.0,,2.65,6.9,
"Camas,%20Clark%20County",2020-06-23,52.0,74.6,93.0,29.99,56.6,0.0,10.0,,2.42,5.87,
"Camas,%20Clark%20County",2020-06-24,57.9,74.0,93.0,29.93,57.3,0.0,10.0,,2.88,6.9,
"Camas,%20Clark%20County",2020-06-25,60.1,68.5,86.0,30.01,55.6,0.0,10.0,,4.14,8.06,
"Camas,%20Clark%20County",2020-06-26,60.1,73.1,87.1,30.00,55.7,0.0,10.0,,3.22,8.06,
"Camas,%20Clark%20County",2020-06-27,60.1,68.4,88.0,30.00,52.2,0.0,10.0,,5.06,9.21,18.3
"Camas,%20Clark%20County",2020-06-28,55.0,61.5,71.1,29.92,47.2,0.0,10.0,,5.75,10.24,18.3
"Camas,%20Clark%20County",2020-06-29,54.0,62.9,73.0,29.99,49.4,0.01,10.0,,3.34,6.9,
"Camas,%20Clark%20County",2020-06-30,54.0,64.5,73.0,30.02,51.5,0.02,9.6,,5.06,11.39,17.26
"Camas,%20Clark%20County",2020-07-01,55.9,60.7,71.1,30.03,48.3,0.05,9.5,,6.44,13.81,24.17
"Camas,%20Clark%20County",2020-07-02,55.9,62.2,72.0,30.02,48.9,0.01,10.0,,3.45,10.24,
"Camas,%20Clark%20County",2020-07-03,51.1,63.1,73.9,30.04,48.5,0.0,10.0,,2.3,6.9,
"Camas,%20Clark%20County",2020-07-04,51.1,63.9,75.0,30.14,49.5,0.0,10.0,,2.99,8.06,
"Camas,%20Clark%20County",2020-07-05,54.0,65.3,77.0,30.16,49.4,0.0,9.2,,3.8,8.06,
"Camas,%20Clark%20County",2020-07-06,55.9,64.5,77.0,30.07,48.9,0.0,10.0,,2.65,6.9,
"Camas,%20Clark%20County",2020-07-07,55.9,62.0,70.0,30.09,51.1,0.0,9.5,,4.6,9.21,
"Camas,%20Clark%20County",2020-07-08,57.0,64.5,75.0,30.10,52.2,0.02,10.0,,2.65,6.9,
"Camas,%20Clark%20County",2020-07-09,55.9,65.3,75.9,30.01,51.4,0.0,10.0,,2.07,5.87,
"Camas,%20Clark%20County",2020-07-10,55.9,68.2,81.0,30.09,52.0,0.0,10.0,,3.45,6.9,
"Camas,%20Clark%20County",2020-07-11,54.0,68.5,81.0,30.09,53.0,0.0,10.0,,3.57,9.21,
