location,date,Minimum Temperature,Mean Temperature,Maximum Temperature,Mean Sea Level Pressure,Mean Dew Point,Total Precipitation,Visibility,Snow Depth,Mean Wind Speed,Maximum Sustained Wind Speed,Maximum Wind Gust
Cheney,2020-06-01,38.1,52.0,67.1,,,0.85,,,,,
Cheney,2020-06-02,33.4,53.7,70.0,,,0.0,,,,,
Cheney,2020-06-03,35.8,57.3,70.0,,,0.0,,,,,
Cheney,2020-06-04,44.8,57.5,70.3,,,0.0,,,,,
Cheney,2020-06-05,41.2,56.5,68.7,,,0.0,,,,,
Cheney,2020-06-06,48.0,55.8,66.0,,,0.13,,,,,
Cheney,2020-06-07,41.7,50.6,63.1,,,0.01,,,,,
Cheney,2020-06-08,37.6,49.6,64.0,,,0.02,,,,,
Cheney,2020-06-09,40.8,50.6,64.4,,,0.0,,,,,
Cheney,2020-06-10,42.8,56.5,72.7,,,0.14,,,,,
Cheney,2020-06-11,42.8,61.0,79.0,,,0.0,,,,,
Cheney,2020-06-12,46.2,62.7,79.0,,,0.0,,,,,
Cheney,2020-06-13,47.5,56.6,71.1,,,0.01,,,,,
Cheney,2020-06-14,42.6,49.3,59.2,,,0.35,,,,,
Cheney,2020-06-15,38.8,49.0,59.4,,,0.0,,,,,
Cheney,2020-06-16,47.1,51.3,60.8,,,0.15,,,,,
Cheney,2020-06-17,35.2,52.4,72.3,,,0.0,,,,,
Cheney,2020-06-18,45.5,58.0,74.7,,,0.13,,,,,
Cheney,2020-06-19,42.1,62.1,79.3,,,0.0,,,,,
Cheney,2020-06-20,49.8,63.9,78.4,,,0.0,,,,,
Cheney,2020-06-21,55.4,63.2,73.2,,,0.01,,,,,
Cheney,2020-06-22,41.7,60.4,78.3,,,0.0,,,,,
Cheney,2020-06-23,44.6,65.3,84.2,,,0.0,,,,,
Cheney,2020-06-24,55.0,71.2,85.1,,,0.0,,,,,
Cheney,2020-06-25,46.8,67.4,84.9,,,0.0,,,,,
Cheney,2020-06-26,47.5,67.9,85.8,,,0.0,,,,,
Cheney,2020-06-27,59.4,71.8,85.8,,,0.0,,,,,
Cheney,2020-06-28,46.9,57.7,75.4,,,0.0,,,,,
Cheney,2020-06-29,35.8,56.1,76.1,,,0.0,,,,,
Cheney,2020-06-30,52.3,60.4,73.2,,,0.02,,,,,
Cheney,2020-07-01,45.5,56.1,72.9,,,0.13,,,,,
Cheney,2020-07-02,48.6,57.5,70.0,,,0.19,,,,,
Cheney,2020-07-03,35.2,57.4,77.9,,,0.0,,,,,
Cheney,2020-07-04,33.8,58.2,77.5,,,0.0,,,,,
Cheney,2020-07-05,35.6,58.5,77.7,,,0.0,,,,,
Cheney,2020-07-06,36.7,59.9,79.2,,,0.0,,,,,
Cheney,2020-07-07,50.2,61.8,79.2,,,0.0,,,,,
Cheney,2020-07-08,36.3,57.9,72.9,,,0.02,,,,,
Cheney,2020-07-09,35.4,58.2,78.4,,,0.0,,,,,
Cheney,2020-07-10,54.9,65.4,77.9,,,0.0,,,,,
Cheney,2020-07-11,40.6,64.6,87.8,,,0.0,,,,,
Cheney,2020-07-12,52.9,67.2,87.6,,,0.0,,,,,
Cheney,2020-07-13,31.3,58.9,74.7,,,0.0,,,,,
Cheney,2020-07-14,32.4,58.2,81.5,,,0.0,,,,,
Cheney,2020-07-15,37.0,62.7,85.5,,,0.0,,,,,
Cheney,2020-07-16,43.5,67.5,87.8,,,0.0,,,,,
Cheney,2020-07-17,50.2,67.8,87.4,,,0.0,,,,,
Cheney,2020-07-18,41.2,64.6,84.4,,,0.0,,,,,
Cheney,2020-07-19,41.4,66.5,88.5,,,0.0,,,,,
Cheney,2020-07-20,44.1,69.2,89.2,,,0.0,,,,,
Cheney,2020-07-21,43.9,70.0,93.2,,,0.0,,,,,
Cheney,2020-07-22,47.5,70.8,93.2,,,0.0,,,,,
Cheney,2020-07-23,52.0,70.0,89.1,,,0.0,,,,,
Cheney,2020-07-24,43.2,65.0,82.9,,,0.0,,,,,
Cheney,2020-07-25,32.5,59.5,80.6,,,0.0,,,,,
Cheney,2020-07-26,36.0,62.9,88.0,,,0.0,,,,,
Cheney,2020-07-27,40.6,68.2,93.9,,,0.0,,,,,
Cheney,2020-07-28,44.1,71.1,95.5,,,0.0,,,,,
Cheney,2020-07-29,48.9,73.8,95.2,,,0.0,,,,,
Cheney,2020-07-30,48.6,75.7,98.8,,,0.0,,,,,
Cheney,2020-07-31,49.1,76.7,99.9,,,0.0,,,,,
Cheney,2020-08-01,52.9,74.4,98.6,,,0.0,,,,,
Cheney,2020-08-02,41.4,68.0,90.0,,,0.0,,,,,
Cheney,2020-08-03,45.1,69.7,90.0,,,0.0,,,,,
Cheney,2020-08-04,40.3,66.0,88.7,,,0.0,,,,,
Cheney,2020-08-05,40.5,68.7,93.6,,,0.0,,,,,
Cheney,2020-08-06,55.2,69.2,93.0,,,0.0,,,,,
Cheney,2020-08-07,44.4,59.8,80.6,,,0.05,,,,,
