location,date,Minimum Temperature,Mean Temperature,Maximum Temperature,Mean Sea Level Pressure,Mean Dew Point,Total Precipitation,Visibility,Snow Depth,Mean Wind Speed,Maximum Sustained Wind Speed,Maximum Wind Gust
Covington,2020-06-01,48.0,56.3,68.0,30.15,44.4,0.0,7.0,,4.72,10.24,
Covington,2020-06-02,48.0,58.6,68.0,30.21,45.0,0.0,7.0,,5.64,10.24,
Covington,2020-06-03,48.0,56.8,66.9,30.22,47.1,0.0,6.6,,3.68,10.24,
Covington,2020-06-04,50.0,59.5,66.9,30.11,43.9,0.0,7.5,,5.41,14.96,
Covington,2020-06-05,51.1,58.0,68.0,29.85,46.4,0.0,6.8,,6.9,13.81,
Covington,2020-06-06,50.0,56.5,66.0,29.79,46.9,0.19,6.7,,5.18,12.77,21.86
Covington,2020-06-07,50.0,55.5,64.0,29.92,46.1,0.0,6.8,,6.56,9.21,
Covington,2020-06-08,51.1,58.3,64.9,30.15,43.7,0.0,8.2,,10.01,16.11,23.02
Covington,2020-06-09,51.1,55.7,64.9,30.14,48.8,0.0,7.7,,5.41,11.39,
Covington,2020-06-10,51.1,59.8,73.0,30.11,55.8,0.02,8.9,,3.68,9.21,
Covington,2020-06-11,54.0,63.4,73.0,30.08,52.4,0.0,9.6,,4.26,6.9,
Covington,2020-06-12,54.0,60.3,71.1,30.01,50.8,0.08,9.0,,5.06,12.77,
Covington,2020-06-13,51.1,55.9,64.0,29.97,49.0,0.22,9.3,,4.6,14.96,23.02
Covington,2020-06-14,51.1,56.8,66.9,30.01,44.6,0.05,10.0,,7.36,12.77,20.83
Covington,2020-06-15,51.1,57.7,66.9,29.94,48.1,0.0,8.8,,5.41,13.81,19.68
Covington,2020-06-16,51.1,55.8,66.9,30.03,48.5,0.08,9.1,,4.49,10.24,17.26
Covington,2020-06-17,50.0,59.5,72.0,30.24,48.2,0.05,10.0,,3.68,9.21,
Covington,2020-06-18,50.0,63.6,75.9,30.24,50.4,0.0,10.0,,7.25,12.77,
Covington,2020-06-19,53.1,67.2,80.1,30.02,52.5,0.0,10.0,,3.57,10.24,
Covington,2020-06-20,54.0,68.4,80.1,29.93,55.1,0.0,9.6,,6.1,10.24,17.26
Covington,2020-06-21,57.9,64.4,73.9,30.09,52.7,0.0,10.0,,6.33,14.96,23.02
Covington,2020-06-22,52.0,63.4,77.0,30.21,49.9,0.0,10.0,,6.9,11.39,
Covington,2020-06-23,52.0,69.4,82.0,30.07,51.0,0.0,10.0,,7.48,14.96,
Covington,2020-06-24,59.0,69.0,82.0,29.94,57.3,0.0,10.0,,6.33,12.77,19.68
Covington,2020-06-25,59.0,67.7,79.0,30.06,56.0,0.0,9.9,,7.6,12.77,
Covington,2020-06-26,57.9,70.3,82.0,30.04,55.8,0.0,10.0,,6.21,12.77,
Covington,2020-06-27,55.9,62.0,82.0,30.00,53.5,0.0,8.5,,4.6,11.39,
Covington,2020-06-28,52.0,57.9,69.1,29.90,50.1,0.44,8.8,,4.37,12.77,
Covington,2020-06-29,52.0,61.7,73.0,29.98,51.6,0.27,9.8,,5.52,11.39,
Covington,2020-06-30,53.1,60.6,73.0,29.99,50.9,0.0,8.7,,8.63,16.11,21.86
Covington,2020-07-01,54.0,59.2,66.9,29.98,47.8,0.0,9.8,,9.32,12.77,19.68
Covington,2020-07-02,55.0,59.4,66.9,29.98,48.7,0.0,9.5,,8.4,11.39,24.17
Covington,2020-07-03,55.9,61.2,66.9,30.06,48.4,0.0,10.0,,5.52,9.21,
Covington,2020-07-04,55.0,61.4,71.1,30.18,50.9,0.0,8.7,,3.8,9.21,
Covington,2020-07-05,54.0,63.4,73.9,30.18,49.6,0.0,7.7,,5.98,9.21,
Covington,2020-07-06,54.0,64.1,75.0,30.08,48.7,0.0,9.9,,4.83,9.21,
Covington,2020-07-07,55.0,62.5,72.0,30.06,49.7,0.0,10.0,,7.71,12.77,18.3
Covington,2020-07-08,57.9,62.7,73.9,30.11,53.2,0.0,9.7,,2.65,6.9,
Covington,2020-07-09,57.9,64.7,73.9,30.03,52.6,0.0,9.8,,5.29,9.21,
Covington,2020-07-10,57.0,63.5,73.9,30.13,51.4,0.0,9.9,,5.41,9.21,
Covington,2020-07-11,54.0,64.0,73.9,30.12,51.8,0.0,9.6,,5.52,11.39,17.26
Covington,2020-07-12,54.0,62.6,71.1,30.14,52.9,0.0,9.0,,6.44,10.24,
Covington,2020-07-13,55.0,63.6,73.9,30.14,47.5,0.0,9.0,,7.25,14.96,18.3
Covington,2020-07-14,52.0,65.6,80.1,30.14,48.2,0.0,8.2,,6.33,13.81,
Covington,2020-07-15,52.0,69.1,81.0,30.13,50.3,0.0,9.1,,5.64,11.39,
Covington,2020-07-16,55.9,70.1,82.0,30.04,56.6,0.0,9.4,,6.67,11.39,
Covington,2020-07-17,57.2,65.0,75.9,30.04,57.6,0.0,6.9,,5.29,10.24,
Covington,2020-07-18,54.0,65.5,79.0,30.19,53.1,0.06,10.0,,5.87,14.96,
Covington,2020-07-19,54.0,70.2,82.9,30.11,55.6,0.0,10.0,,5.41,14.96,
Covington,2020-07-20,57.9,72.6,84.9,30.03,58.4,0.0,10.0,,5.87,13.81,
Covington,2020-07-21,59.0,73.3,86.0,29.92,59.5,0.0,10.0,,5.29,8.06,
Covington,2020-07-22,60.1,67.4,82.0,29.87,58.2,0.0,8.2,,5.06,8.06,
Covington,2020-07-23,59.0,64.3,73.0,29.96,53.6,0.0,10.0,,5.18,9.21,
Covington,2020-07-24,57.0,63.3,72.0,30.05,51.4,0.0,10.0,,5.98,11.39,
Covington,2020-07-25,57.0,64.8,77.0,30.14,49.7,0.0,10.0,,6.9,11.39,
Covington,2020-07-26,57.0,70.1,84.9,30.10,52.8,0.0,10.0,,9.09,13.81,
Covington,2020-07-27,57.9,75.8,93.0,29.92,57.9,0.0,10.0,,5.64,12.77,
Covington,2020-07-28,61.0,73.2,93.0,29.90,56.4,0.0,10.0,,5.52,10.24,
Covington,2020-07-29,57.9,71.2,84.9,29.92,54.8,0.0,10.0,,5.41,10.24,
Covington,2020-07-30,57.9,75.3,88.0,29.96,53.5,0.0,10.0,,8.63,12.77,
Covington,2020-07-31,64.0,75.1,88.0,29.94,55.3,0.0,8.3,,5.41,13.81,18.3
Covington,2020-08-01,60.8,67.2,82.0,30.10,54.6,0.0,8.3,,4.37,8.06,
Covington,2020-08-02,57.0,68.7,81.0,30.08,53.3,0.0,9.6,,4.03,10.24,
Covington,2020-08-03,57.0,70.2,81.0,30.13,55.5,0.0,9.5,,4.83,9.21,
Covington,2020-08-04,60.1,71.5,82.0,30.10,57.7,0.0,8.0,,6.79,12.77,
Covington,2020-08-05,60.1,71.4,81.0,29.96,56.3,0.0,7.4,,5.18,11.39,
Covington,2020-08-06,57.0,65.7,82.9,29.91,54.4,0.0,6.1,,6.56,10.24,
Covington,2020-08-07,57.0,64.0,75.0,30.14,50.6,0.03,7.7,,5.06,10.24,
Covington,2020-08-08,59.0,64.0,75.9,30.16,54.3,0.0,7.1,,3.68,12.77,
Covington,2020-08-09,51.1,63.2,77.0,30.26,50.0,0.0,7.5,,5.98,13.81,
Covington,2020-08-10,51.1,67.4,80.1,30.15,52.6,0.0,6.8,,5.06,12.77,
Covington,2020-08-11,55.0,67.8,81.0,29.96,53.6,0.0,6.5,,6.56,11.39,17.26
Covington,2020-08-12,55.9,62.5,75.9,30.01,46.2,0.0,6.1,,4.37,8.06,
Covington,2020-08-13,50.0,61.8,73.9,30.13,45.6,0.0,7.7,,3.22,6.9,
Covington,2020-08-14,50.0,65.8,80.1,30.20,47.7,0.0,7.2,,7.02,12.77,
Covington,2020-08-15,52.0,71.7,86.0,30.07,53.3,0.0,7.0,,9.09,14.96,
Covington,2020-08-16,57.0,76.2,98.1,29.88,58.2,0.0,6.8,,4.14,13.81,
Covington,2020-08-17,61.0,78.9,98.1,29.99,56.4,0.0,6.0,,4.95,9.21,
Covington,2020-08-18,63.0,72.7,90.0,30.07,58.0,0.0,10.0,,5.52,9.21,
Covington,2020-08-19,59.0,70.5,84.0,30.01,56.6,0.0,10.0,,5.29,12.77,
Covington,2020-08-20,59.0,72.2,84.9,29.90,55.8,0.0,9.9,,5.98,11.39,
Covington,2020-08-21,64.0,70.2,81.0,29.83,61.2,0.05,8.3,,5.75,14.96,24.17
Covington,2020-08-22,59.0,65.7,75.0,30.06,55.7,0.06,9.7,,6.79,16.11,20.83
Covington,2020-08-23,52.0,64.6,75.9,30.03,49.5,0.0,10.0,,7.13,14.96,
Covington,2020-08-24,52.0,65.8,75.9,29.98,50.9,0.0,9.9,,5.52,10.24,
