location,date,Minimum Temperature,Mean Temperature,Maximum Temperature,Mean Sea Level Pressure,Mean Dew Point,Total Precipitation,Visibility,Snow Depth,Mean Wind Speed,Maximum Sustained Wind Speed,Maximum Wind Gust
Ellensburg,2020-06-01,46.9,57.4,72.0,30.02,35.4,0.0,10.0,,19.91,29.92,35.79
Ellensburg,2020-06-02,43.0,59.4,77.0,30.11,37.4,0.0,10.0,,10.24,27.73,34.41
Ellensburg,2020-06-03,43.0,61.8,78.1,30.08,37.4,0.0,10.0,,12.89,37.98,44.88
Ellensburg,2020-06-04,50.0,61.2,78.1,29.96,37.9,0.0,10.0,,22.09,31.07,37.98
Ellensburg,2020-06-05,50.0,60.0,72.0,29.76,40.8,0.0,10.0,,7.13,21.86,28.88
Ellensburg,2020-06-06,45.0,56.5,70.0,29.68,39.2,0.0,10.0,,15.77,28.88,36.94
Ellensburg,2020-06-07,45.0,54.3,68.0,29.78,37.9,0.01,10.0,,21.98,35.79,48.33
Ellensburg,2020-06-08,46.9,55.6,64.0,30.03,37.6,0.0,10.0,,23.48,31.07,41.31
Ellensburg,2020-06-09,48.0,54.6,66.9,30.12,42.6,0.03,10.0,,8.52,29.92,35.79
Ellensburg,2020-06-10,46.0,59.9,77.0,30.11,49.0,0.08,7.9,,5.75,14.96,21.86
Ellensburg,2020-06-11,46.0,64.0,77.0,30.00,50.6,0.03,10.0,,7.25,21.86,28.88
Ellensburg,2020-06-12,52.0,63.6,75.0,29.92,50.2,0.06,10.0,,12.31,29.92,46.03
Ellensburg,2020-06-13,52.0,57.1,73.0,29.82,40.2,0.08,10.0,,23.82,32.22,39.13
Ellensburg,2020-06-14,46.0,54.4,64.9,29.91,36.9,0.0,10.0,,19.45,31.07,37.98
Ellensburg,2020-06-15,46.0,55.0,64.9,29.92,41.4,0.0,9.9,,7.36,25.32,32.22
Ellensburg,2020-06-16,46.9,55.5,68.0,29.93,40.6,0.14,10.0,,14.85,21.86,26.35
Ellensburg,2020-06-17,46.9,61.3,73.9,30.10,43.0,0.03,10.0,,20.37,28.88,39.13
Ellensburg,2020-06-18,55.0,63.9,82.0,30.14,44.0,0.0,10.0,,14.27,32.22,41.31
Ellensburg,2020-06-19,51.1,68.7,90.0,29.95,45.6,0.0,10.0,,6.1,18.3,
Ellensburg,2020-06-20,51.1,71.9,90.0,29.87,51.6,0.0,10.0,,9.09,21.86,31.07
Ellensburg,2020-06-21,55.9,67.4,79.0,29.96,48.7,0.0,10.0,,20.25,33.26,42.46
Ellensburg,2020-06-22,55.0,68.7,91.0,30.08,43.0,0.0,10.0,,15.31,31.07,41.31
Ellensburg,2020-06-23,55.0,76.1,97.0,30.00,50.4,0.0,10.0,,6.67,18.3,
Ellensburg,2020-06-24,55.0,77.3,97.0,29.82,51.9,0.0,10.0,,18.64,32.22,46.03
Ellensburg,2020-06-25,61.0,73.1,91.0,29.93,48.1,0.0,10.0,,15.31,34.41,42.46
Ellensburg,2020-06-26,61.0,77.0,91.0,29.91,48.2,0.0,10.0,,20.48,29.92,37.98
Ellensburg,2020-06-27,62.1,68.2,89.1,29.83,48.5,0.0,10.0,,24.4,33.26,43.84
Ellensburg,2020-06-28,52.0,58.7,71.1,29.75,42.0,0.0,10.0,,23.71,33.26,46.03
Ellensburg,2020-06-29,52.0,65.9,81.0,29.82,46.4,0.02,9.9,,21.75,31.07,42.46
Ellensburg,2020-06-30,57.0,64.9,81.0,29.82,45.5,0.0,10.0,,25.89,35.79,44.88
Ellensburg,2020-07-01,51.1,58.3,70.0,29.85,41.6,0.0,10.0,,24.51,37.98,51.9
Ellensburg,2020-07-02,51.1,60.5,71.1,29.88,43.1,0.0,10.0,,18.76,24.17,34.41
Ellensburg,2020-07-03,44.1,62.1,79.0,29.95,41.9,0.0,10.0,,13.58,26.35,35.79
Ellensburg,2020-07-04,44.1,65.4,79.0,30.04,42.3,0.0,10.0,,18.53,26.35,31.07
Ellensburg,2020-07-05,53.1,66.8,82.9,30.06,42.2,0.0,10.0,,12.08,23.02,33.26
Ellensburg,2020-07-06,55.0,68.3,82.9,29.93,45.8,0.0,10.0,,15.77,24.17,31.07
Ellensburg,2020-07-07,54.0,63.3,82.0,29.91,43.4,0.0,10.0,,26.93,32.22,44.88
Ellensburg,2020-07-08,54.0,64.6,81.0,30.00,43.7,0.0,10.0,,14.04,24.17,32.22
Ellensburg,2020-07-09,52.0,66.4,81.0,29.91,46.4,0.0,10.0,,16.46,24.17,29.92
Ellensburg,2020-07-10,52.0,67.6,84.0,30.03,45.3,0.0,10.0,,11.62,23.02,32.22
Ellensburg,2020-07-11,48.9,69.3,87.1,30.01,48.3,0.0,10.0,,8.4,33.26,44.88
Ellensburg,2020-07-12,48.9,65.3,87.1,30.02,46.0,0.0,10.0,,22.09,33.26,43.84
Ellensburg,2020-07-13,46.9,63.5,82.0,30.04,39.0,0.0,10.0,,10.36,28.88,41.31
Ellensburg,2020-07-14,43.0,66.9,88.0,30.05,38.4,0.0,10.0,,8.75,20.83,26.35
Ellensburg,2020-07-15,66.0,75.7,88.0,30.00,42.3,0.0,10.0,,20.25,24.17,34.41
Ellensburg,2020-07-16,66.0,77.1,89.1,29.90,49.1,0.0,10.0,,22.09,28.88,37.98
Ellensburg,2020-07-17,64.0,71.8,88.0,29.90,50.7,0.0,10.0,,22.21,32.22,40.28
Ellensburg,2020-07-18,59.0,70.5,90.0,30.04,47.3,0.0,10.0,,15.65,31.07,41.31
Ellensburg,2020-07-19,54.0,74.6,93.9,30.01,49.3,0.0,10.0,,10.01,23.02,29.92
Ellensburg,2020-07-20,54.0,77.8,96.1,29.97,50.3,0.0,10.0,,8.29,21.86,27.73
