location,date,Minimum Temperature,Mean Temperature,Maximum Temperature,Mean Sea Level Pressure,Mean Dew Point,Total Precipitation,Visibility,Snow Depth,Mean Wind Speed,Maximum Sustained Wind Speed,Maximum Wind Gust
Federal%20Way,2020-06-01,48.7,56.6,66.0,30.15,,0.0,,,0.0,,
Federal%20Way,2020-06-02,51.1,60.3,68.0,30.21,,0.0,,,0.0,,
Federal%20Way,2020-06-03,52.7,56.5,64.6,30.23,,0.0,,,0.0,,
Federal%20Way,2020-06-04,54.7,60.0,67.5,30.12,,0.0,,,0.0,,
Federal%20Way,2020-06-05,53.2,58.8,67.5,29.86,,0.0,,,0.0,,
Federal%20Way,2020-06-06,52.3,58.0,66.2,29.79,,0.0,,,0.0,,
Federal%20Way,2020-06-07,50.9,54.7,60.8,29.93,,0.0,,,0.0,,
Federal%20Way,2020-06-08,51.8,57.1,63.1,30.16,,0.0,,,0.0,,
Federal%20Way,2020-06-09,51.8,55.8,62.4,30.13,,0.0,,,0.0,,
Federal%20Way,2020-06-10,54.5,59.9,68.7,30.14,,0.0,,,0.0,,
Federal%20Way,2020-06-11,58.5,62.8,69.3,30.09,,0.0,,,0.0,,
Federal%20Way,2020-06-12,55.2,60.9,71.6,30.03,,0.0,,,0.0,,
Federal%20Way,2020-06-13,53.4,56.9,60.8,29.98,,0.0,,,0.0,,
Federal%20Way,2020-06-14,49.8,56.1,65.5,30.01,,0.0,,,0.0,,
Federal%20Way,2020-06-15,53.6,58.4,64.2,29.94,,0.0,,,0.0,,
Federal%20Way,2020-06-16,52.3,56.5,64.4,30.04,,0.0,,,0.0,,
Federal%20Way,2020-06-17,52.3,60.1,71.2,30.25,,0.0,,,0.0,,
Federal%20Way,2020-06-18,54.5,62.2,73.8,30.26,,0.0,,,0.0,,
Federal%20Way,2020-06-19,56.7,66.1,77.5,30.03,,0.0,,,0.0,,
Federal%20Way,2020-06-20,61.3,66.9,72.3,29.94,,0.0,,,0.0,,
Federal%20Way,2020-06-21,59.5,63.8,69.4,30.09,,0.0,,,0.0,,
Federal%20Way,2020-06-22,54.9,62.0,71.8,30.22,,0.0,,,0.0,,
Federal%20Way,2020-06-23,58.5,67.8,80.8,30.09,,0.0,,,0.0,,
Federal%20Way,2020-06-24,61.9,68.4,76.1,29.95,,0.0,,,0.0,,
Federal%20Way,2020-06-25,57.4,65.1,76.1,30.06,,0.0,,,0.0,,
Federal%20Way,2020-06-26,59.4,68.7,79.5,30.05,,0.0,,,0.0,,
Federal%20Way,2020-06-27,57.7,63.2,75.6,30.00,,0.0,,,0.0,,
Federal%20Way,2020-06-28,53.6,58.4,66.9,29.91,,0.0,,,0.0,,
Federal%20Way,2020-06-29,55.8,62.9,70.5,29.98,,0.0,,,0.0,,
Federal%20Way,2020-06-30,56.8,61.5,69.6,30.00,,0.0,,,0.0,,
Federal%20Way,2020-07-01,55.2,58.4,64.4,30.00,,0.0,,,0.0,,
Federal%20Way,2020-07-02,56.1,59.4,64.4,30.01,,0.0,,,0.0,,
Federal%20Way,2020-07-03,57.0,60.7,65.7,30.06,,0.0,,,0.0,,
Federal%20Way,2020-07-04,55.0,60.6,69.3,30.19,,0.0,,,0.0,,
Federal%20Way,2020-07-05,56.1,63.1,72.1,30.19,,0.0,,,0.0,,
Federal%20Way,2020-07-06,57.6,64.4,73.2,30.09,,0.0,,,0.0,,
Federal%20Way,2020-07-07,57.0,61.9,68.0,30.07,,0.0,,,0.0,,
Federal%20Way,2020-07-08,57.2,62.1,70.7,30.12,,0.0,,,0.0,,
Federal%20Way,2020-07-09,59.5,64.1,71.2,30.03,,0.0,,,0.0,,
Federal%20Way,2020-07-10,56.5,62.8,71.6,30.14,,0.0,,,0.0,,
Federal%20Way,2020-07-11,56.7,63.5,72.3,30.13,,0.0,,,0.0,,
Federal%20Way,2020-07-12,60.1,63.3,68.9,30.15,,0.0,,,0.0,,
Federal%20Way,2020-07-13,57.0,62.1,70.0,30.15,,0.0,,,0.0,,
Federal%20Way,2020-07-14,54.0,66.8,81.0,30.15,47.1,0.0,10.0,,7.94,13.81,
Federal%20Way,2020-07-15,54.0,70.5,84.0,30.15,49.2,0.0,10.0,,6.44,12.77,
Federal%20Way,2020-07-16,57.0,68.8,84.0,30.06,56.2,0.0,10.0,,7.71,11.39,
Federal%20Way,2020-07-17,59.9,63.0,68.4,30.09,,0.0,,,0.0,,
Federal%20Way,2020-07-18,58.1,64.5,75.9,30.20,,0.0,,,0.0,,
Federal%20Way,2020-07-19,61.0,68.5,80.1,30.13,,0.0,,,0.0,,
Federal%20Way,2020-07-20,60.8,71.3,82.8,30.04,,0.0,,,0.0,,
Federal%20Way,2020-07-21,63.0,70.6,83.7,29.93,,0.0,,,0.0,,
Federal%20Way,2020-07-22,62.1,67.6,78.4,29.88,,0.0,,,0.0,,
Federal%20Way,2020-07-23,58.6,63.1,70.5,29.96,,0.0,,,0.0,,
Federal%20Way,2020-07-24,56.8,62.0,68.7,30.05,,0.0,,,0.0,,
Federal%20Way,2020-07-25,57.2,63.2,73.0,30.14,,0.0,,,0.0,,
Federal%20Way,2020-07-26,59.0,68.5,79.9,30.11,,0.0,,,0.0,,
