location,date,Minimum Temperature,Mean Temperature,Maximum Temperature,Mean Sea Level Pressure,Mean Dew Point,Total Precipitation,Visibility,Snow Depth,Mean Wind Speed,Maximum Sustained Wind Speed,Maximum Wind Gust
Ferndale,2020-06-01,45.0,55.4,64.9,30.16,43.2,0.0,10.0,,5.52,14.96,19.68
Ferndale,2020-06-02,45.0,55.3,64.9,30.21,45.3,0.0,9.9,,4.95,8.06,
Ferndale,2020-06-03,46.9,55.8,63.0,30.23,47.9,0.06,9.7,,2.88,8.06,
Ferndale,2020-06-04,46.9,56.8,64.9,30.10,45.4,0.0,10.0,,6.56,13.81,21.86
Ferndale,2020-06-05,46.9,57.0,66.9,29.86,46.2,0.0,10.0,,2.65,11.39,
Ferndale,2020-06-06,46.9,57.3,66.9,29.76,46.2,0.02,9.8,,7.6,13.81,20.83
Ferndale,2020-06-07,50.0,56.6,64.9,29.90,46.1,0.1,10.0,,6.44,13.81,17.26
Ferndale,2020-06-08,50.0,57.3,64.9,30.11,45.1,0.2,9.7,,8.17,12.77,20.83
Ferndale,2020-06-09,51.1,56.4,63.0,30.09,47.1,0.06,9.0,,7.13,13.81,
Ferndale,2020-06-10,51.1,60.1,69.1,30.11,54.2,0.41,9.3,,3.57,9.21,
Ferndale,2020-06-11,53.1,60.4,69.1,30.07,53.4,0.01,9.9,,4.95,9.21,
Ferndale,2020-06-12,55.0,58.4,68.0,30.01,52.4,0.11,8.6,,4.6,10.24,
Ferndale,2020-06-13,52.0,55.3,62.1,29.96,49.4,0.56,9.9,,4.72,11.39,
Ferndale,2020-06-14,52.0,56.1,64.0,29.98,45.8,0.03,10.0,,9.09,14.96,20.83
Ferndale,2020-06-15,52.0,55.8,64.0,29.92,48.4,0.0,9.5,,3.22,8.06,
Ferndale,2020-06-16,51.1,55.9,64.0,30.03,48.4,0.28,9.9,,4.95,10.24,
Ferndale,2020-06-17,51.1,59.5,68.0,30.23,48.3,0.0,10.0,,7.13,12.77,17.26
Ferndale,2020-06-18,51.1,61.2,73.0,30.24,49.5,0.0,10.0,,5.87,10.24,
Ferndale,2020-06-19,51.1,63.9,75.0,30.02,52.4,0.0,10.0,,2.65,5.87,
Ferndale,2020-06-20,52.0,64.3,75.0,29.92,57.4,0.02,9.7,,4.03,10.24,
Ferndale,2020-06-21,55.0,61.7,70.0,30.07,54.1,0.08,9.5,,8.86,14.96,20.83
Ferndale,2020-06-22,48.9,61.7,73.9,30.22,49.3,0.03,10.0,,4.95,11.39,18.3
Ferndale,2020-06-23,48.9,65.7,78.1,30.09,53.9,0.0,10.0,,2.42,9.21,
Ferndale,2020-06-24,54.0,64.6,78.1,29.94,56.8,0.01,9.8,,6.56,17.26,21.86
