location,date,Minimum Temperature,Mean Temperature,Maximum Temperature,Mean Sea Level Pressure,Mean Dew Point,Total Precipitation,Visibility,Snow Depth,Mean Wind Speed,Maximum Sustained Wind Speed,Maximum Wind Gust
"Longview,%20Cowlitz%20County",2020-06-01,41.0,54.2,69.1,30.15,45.0,0.0,10.0,,2.88,8.06,
"Longview,%20Cowlitz%20County",2020-06-02,41.0,56.9,72.0,30.22,45.9,0.0,10.0,,3.34,12.77,19.68
"Longview,%20Cowlitz%20County",2020-06-03,44.1,59.4,72.0,30.21,48.4,0.0,10.0,,4.83,12.77,
"Longview,%20Cowlitz%20County",2020-06-04,48.9,59.1,72.0,30.12,48.3,0.0,10.0,,4.03,11.39,20.83
"Longview,%20Cowlitz%20County",2020-06-05,48.9,59.7,70.0,29.84,49.7,0.0,10.0,,4.83,9.21,
"Longview,%20Cowlitz%20County",2020-06-06,51.8,55.2,64.9,29.83,48.5,0.46,9.4,,4.6,14.96,20.83
"Longview,%20Cowlitz%20County",2020-06-07,48.0,52.7,63.0,29.99,48.7,0.24,10.0,,4.37,13.81,19.68
"Longview,%20Cowlitz%20County",2020-06-08,48.0,56.1,63.0,30.23,47.9,0.01,9.9,,6.1,13.81,20.83
"Longview,%20Cowlitz%20County",2020-06-09,50.0,55.7,63.0,30.16,50.7,0.34,9.9,,8.17,14.96,25.32
"Longview,%20Cowlitz%20County",2020-06-10,50.0,62.6,73.9,30.13,57.8,0.17,9.5,,3.45,14.96,18.3
"Longview,%20Cowlitz%20County",2020-06-11,57.0,62.8,73.9,30.08,54.7,0.06,10.0,,2.42,6.9,
"Longview,%20Cowlitz%20County",2020-06-12,55.0,59.1,75.0,30.04,52.5,0.01,10.0,,1.38,8.06,
"Longview,%20Cowlitz%20County",2020-06-13,51.8,55.6,60.1,30.01,51.4,0.0,9.6,,2.07,6.9,
"Longview,%20Cowlitz%20County",2020-06-14,46.9,54.6,66.0,30.05,48.3,,9.8,,4.03,8.06,
"Longview,%20Cowlitz%20County",2020-06-15,46.9,56.9,66.0,29.98,52.3,0.0,9.9,,4.37,12.77,17.26
"Longview,%20Cowlitz%20County",2020-06-16,51.8,57.0,66.0,30.05,49.7,0.0,9.9,,3.22,10.24,
"Longview,%20Cowlitz%20County",2020-06-17,48.9,59.1,71.1,30.26,51.4,0.01,10.0,,3.34,10.24,
"Longview,%20Cowlitz%20County",2020-06-18,48.9,61.9,81.0,30.24,51.4,0.02,10.0,,5.41,10.24,17.26
"Longview,%20Cowlitz%20County",2020-06-19,48.9,67.8,84.9,30.01,52.4,0.02,9.9,,2.99,11.39,16.11
"Longview,%20Cowlitz%20County",2020-06-20,51.1,64.5,84.9,29.96,57.4,0.01,9.6,,3.68,11.39,20.83
"Longview,%20Cowlitz%20County",2020-06-21,57.2,63.0,71.1,30.13,56.0,,10.0,,3.57,10.24,
"Longview,%20Cowlitz%20County",2020-06-22,50.0,64.0,84.9,30.20,51.2,0.01,10.0,,4.83,10.24,16.11
"Longview,%20Cowlitz%20County",2020-06-23,50.0,72.9,90.0,30.04,56.0,0.01,9.9,,4.72,11.39,16.11
"Longview,%20Cowlitz%20County",2020-06-24,57.0,68.2,90.0,29.97,58.9,0.0,10.0,,5.18,12.77,19.68
"Longview,%20Cowlitz%20County",2020-06-25,57.9,66.1,84.0,30.06,56.2,0.01,10.0,,7.36,13.81,21.86
"Longview,%20Cowlitz%20County",2020-06-26,55.9,68.1,84.0,30.06,56.2,0.0,10.0,,4.95,11.39,20.83
"Longview,%20Cowlitz%20County",2020-06-27,55.9,62.0,80.1,30.05,53.8,0.0,10.0,,7.02,12.77,17.26
"Longview,%20Cowlitz%20County",2020-06-28,53.1,58.6,69.1,29.95,51.1,0.0,10.0,,4.95,11.39,16.11
"Longview,%20Cowlitz%20County",2020-06-29,53.1,60.5,70.0,30.02,53.2,0.07,9.8,,4.26,13.81,18.3
"Longview,%20Cowlitz%20County",2020-06-30,53.1,60.0,70.0,30.06,53.0,0.01,8.8,,4.95,11.39,20.83
"Longview,%20Cowlitz%20County",2020-07-01,53.1,56.7,64.9,30.06,52.3,0.0,8.4,,4.37,11.39,17.26
"Longview,%20Cowlitz%20County",2020-07-02,53.1,58.7,66.0,30.05,52.9,,9.8,,3.8,8.06,
"Longview,%20Cowlitz%20County",2020-07-03,53.1,59.3,66.9,30.08,51.3,0.0,10.0,,2.3,8.06,
"Longview,%20Cowlitz%20County",2020-07-04,51.1,60.0,70.0,30.19,51.6,0.0,10.0,,3.45,8.06,
"Longview,%20Cowlitz%20County",2020-07-05,51.1,61.5,73.9,30.20,52.2,0.0,7.9,,3.22,10.24,
"Longview,%20Cowlitz%20County",2020-07-06,51.1,60.1,73.9,30.11,51.1,0.0,10.0,,3.11,8.06,
"Longview,%20Cowlitz%20County",2020-07-07,51.1,59.0,66.0,30.10,53.7,0.0,9.3,,4.95,9.21,
"Longview,%20Cowlitz%20County",2020-07-08,55.0,61.5,71.1,30.13,54.9,0.0,10.0,,2.99,9.21,
"Longview,%20Cowlitz%20County",2020-07-09,52.0,62.7,75.0,30.04,54.4,,9.8,,2.65,11.39,
"Longview,%20Cowlitz%20County",2020-07-10,52.0,63.9,75.9,30.14,53.5,0.0,9.7,,3.45,9.21,16.11
"Longview,%20Cowlitz%20County",2020-07-11,51.1,62.5,75.9,30.14,53.3,0.0,10.0,,3.45,8.06,
"Longview,%20Cowlitz%20County",2020-07-12,51.1,63.4,73.0,30.17,54.9,,9.2,,3.57,9.21,
"Longview,%20Cowlitz%20County",2020-07-13,48.0,61.9,79.0,30.13,50.0,0.0,10.0,,4.6,11.39,17.26
"Longview,%20Cowlitz%20County",2020-07-14,48.0,66.3,84.0,30.12,50.9,0.0,10.0,,6.33,12.77,19.68
"Longview,%20Cowlitz%20County",2020-07-15,51.1,69.0,84.0,30.12,54.7,0.0,10.0,,5.41,12.77,21.86
"Longview,%20Cowlitz%20County",2020-07-16,55.9,66.4,82.0,30.07,58.7,0.0,10.0,,5.52,12.77,19.68
"Longview,%20Cowlitz%20County",2020-07-17,60.1,65.4,75.0,30.09,56.1,0.0,10.0,,6.9,12.77,19.68
"Longview,%20Cowlitz%20County",2020-07-18,51.1,64.7,82.9,30.18,53.0,0.0,10.0,,6.79,12.77,19.68
