location,date,Minimum Temperature,Mean Temperature,Maximum Temperature,Mean Sea Level Pressure,Mean Dew Point,Total Precipitation,Visibility,Snow Depth,Mean Wind Speed,Maximum Sustained Wind Speed,Maximum Wind Gust
Mill%20Creek,2020-06-01,48.9,53.8,63.0,30.15,44.9,0.01,10.0,,5.64,9.21,
Mill%20Creek,2020-06-02,48.0,53.4,63.0,30.21,45.5,0.0,9.7,,5.41,10.24,
Mill%20Creek,2020-06-03,48.0,54.8,62.1,30.22,47.9,0.03,10.0,,5.06,11.39,20.83
Mill%20Creek,2020-06-04,48.9,55.0,64.9,30.12,44.8,0.0,9.9,,4.14,8.06,
Mill%20Creek,2020-06-05,48.0,54.7,64.9,29.85,46.7,0.0,9.9,,5.98,9.21,
Mill%20Creek,2020-06-06,48.0,54.4,64.0,29.77,47.4,0.06,9.7,,7.25,11.39,19.68
Mill%20Creek,2020-06-07,48.9,53.4,62.1,29.91,47.4,0.09,9.1,,4.95,9.21,
Mill%20Creek,2020-06-08,48.9,54.7,62.1,30.14,46.4,0.05,9.4,,6.1,11.39,
Mill%20Creek,2020-06-09,50.0,54.5,63.0,30.11,47.8,0.23,7.9,,11.39,21.86,31.07
Mill%20Creek,2020-06-10,50.0,60.6,71.1,30.11,54.7,0.18,9.7,,8.98,19.68,29.92
Mill%20Creek,2020-06-11,55.9,60.5,71.1,30.07,52.7,0.03,9.4,,6.56,16.11,20.83
Mill%20Creek,2020-06-12,53.1,56.6,68.0,30.01,51.4,0.13,8.4,,4.83,11.39,
Mill%20Creek,2020-06-13,50.0,53.2,59.0,29.95,49.1,0.31,9.3,,3.22,6.9,
Mill%20Creek,2020-06-14,48.2,52.8,61.0,30.00,46.8,0.57,9.1,,6.67,14.96,17.26
Mill%20Creek,2020-06-15,48.9,56.1,63.0,29.93,47.9,0.01,9.4,,7.6,17.26,21.86
Mill%20Creek,2020-06-16,50.0,54.1,63.0,30.03,47.7,0.11,9.3,,5.06,11.39,
Mill%20Creek,2020-06-17,48.9,57.5,68.0,30.24,47.1,0.05,10.0,,3.68,9.21,
Mill%20Creek,2020-06-18,48.9,58.5,71.1,30.25,50.5,0.0,10.0,,6.56,10.24,
Mill%20Creek,2020-06-19,50.0,64.0,75.0,30.03,53.0,0.0,10.0,,4.6,8.06,
Mill%20Creek,2020-06-20,54.0,65.2,75.0,29.93,55.5,0.02,10.0,,10.01,21.86,31.07
Mill%20Creek,2020-06-21,52.0,58.2,73.0,30.09,53.2,0.04,8.3,,7.83,17.26,21.86
Mill%20Creek,2020-06-22,48.9,58.7,71.1,30.22,49.3,0.02,10.0,,5.18,10.24,
Mill%20Creek,2020-06-23,48.9,64.5,77.0,30.09,50.1,0.0,10.0,,4.95,10.24,16.11
Mill%20Creek,2020-06-24,55.0,63.8,77.0,29.95,55.5,0.0,10.0,,5.18,11.39,
Mill%20Creek,2020-06-25,53.6,62.1,75.0,30.06,55.6,0.0,8.6,,5.06,9.21,
Mill%20Creek,2020-06-26,54.0,63.4,75.0,30.06,53.1,0.0,10.0,,5.87,10.24,18.3
Mill%20Creek,2020-06-27,51.8,55.8,64.9,30.00,51.9,0.0,7.0,,6.9,11.39,19.68
Mill%20Creek,2020-06-28,51.1,56.0,66.9,29.89,50.0,0.13,9.5,,6.33,11.39,
Mill%20Creek,2020-06-29,51.1,60.7,72.0,29.96,50.2,0.03,9.8,,8.06,13.81,
Mill%20Creek,2020-06-30,53.1,58.2,72.0,29.98,52.2,0.0,7.7,,9.09,14.96,
Mill%20Creek,2020-07-01,51.8,55.2,61.0,29.96,51.0,0.17,6.6,,6.56,11.39,
