location,date,Minimum Temperature,Mean Temperature,Maximum Temperature,Mean Sea Level Pressure,Mean Dew Point,Total Precipitation,Visibility,Snow Depth,Mean Wind Speed,Maximum Sustained Wind Speed,Maximum Wind Gust
Moses%20Lake,2020-06-01,46.0,63.1,80.1,29.98,35.6,0.0,10.0,,5.98,13.81,21.86
Moses%20Lake,2020-06-02,46.0,65.4,80.1,30.09,35.7,0.0,10.0,,6.9,14.96,21.86
Moses%20Lake,2020-06-03,48.0,67.0,81.0,30.06,35.3,0.0,10.0,,7.83,18.3,25.32
Moses%20Lake,2020-06-04,50.0,68.8,81.0,29.92,32.3,0.0,10.0,,7.71,17.26,
Moses%20Lake,2020-06-05,55.0,68.2,79.0,29.74,39.2,0.0,10.0,,7.13,13.81,18.3
Moses%20Lake,2020-06-06,52.0,65.0,75.9,29.64,40.0,0.0,10.0,,8.17,16.11,24.17
Moses%20Lake,2020-06-07,46.9,61.7,75.9,29.71,37.0,0.0,10.0,,8.17,17.26,24.17
Moses%20Lake,2020-06-08,46.9,63.0,73.9,29.96,34.8,0.03,10.0,,10.82,18.3,27.73
Moses%20Lake,2020-06-09,51.1,59.4,73.9,30.11,42.3,0.0,9.8,,8.52,14.96,24.17
Moses%20Lake,2020-06-10,51.1,64.3,82.0,30.11,50.8,0.12,8.4,,4.26,9.21,19.68
Moses%20Lake,2020-06-11,51.1,68.8,84.9,29.98,51.1,0.0,10.0,,7.02,13.81,
Moses%20Lake,2020-06-12,55.0,73.3,84.9,29.88,51.1,0.02,10.0,,6.9,12.77,18.3
Moses%20Lake,2020-06-13,53.6,63.3,84.0,29.77,49.7,0.21,9.9,,7.48,25.32,32.22
Moses%20Lake,2020-06-14,50.0,60.1,72.0,29.87,38.5,0.24,10.0,,8.86,13.81,21.86
Moses%20Lake,2020-06-15,50.0,59.3,73.0,29.91,42.5,0.0,9.9,,6.44,12.77,
Moses%20Lake,2020-06-16,52.0,58.6,71.1,29.92,48.8,0.26,9.2,,4.49,10.24,19.68
Moses%20Lake,2020-06-17,52.0,65.6,82.0,30.06,45.2,0.74,10.0,,5.98,12.77,16.11
Moses%20Lake,2020-06-18,52.0,70.0,84.0,30.10,45.5,0.0,10.0,,4.14,13.81,
Moses%20Lake,2020-06-19,53.1,74.4,90.0,29.95,46.7,0.0,10.0,,4.83,11.39,18.3
Moses%20Lake,2020-06-20,69.1,77.8,89.1,29.85,49.4,0.0,10.0,,6.1,17.26,
Moses%20Lake,2020-06-21,62.1,73.4,86.0,29.92,50.0,0.0,10.0,,8.4,12.77,23.02
Moses%20Lake,2020-06-22,54.0,71.9,88.0,30.05,45.0,0.0,10.0,,4.83,14.96,
Moses%20Lake,2020-06-23,54.0,78.1,97.0,30.00,48.4,0.0,10.0,,5.41,9.21,
Moses%20Lake,2020-06-24,57.9,84.3,97.0,29.77,51.3,0.0,10.0,,7.6,17.26,23.02
Moses%20Lake,2020-06-25,64.9,80.3,97.0,29.88,46.7,0.0,10.0,,9.44,17.26,25.32
