location,date,Minimum Temperature,Mean Temperature,Maximum Temperature,Mean Sea Level Pressure,Mean Dew Point,Total Precipitation,Visibility,Snow Depth,Mean Wind Speed,Maximum Sustained Wind Speed,Maximum Wind Gust
Mount%20Vernon,2020-06-01,44.6,55.8,69.8,,46.4,0.0,10.0,,3.11,9.21,14.96
Mount%20Vernon,2020-06-02,44.6,54.2,69.8,,46.1,0.0,9.8,,2.76,9.21,14.96
Mount%20Vernon,2020-06-03,44.6,56.7,68.0,,50.2,0.0,8.6,,2.07,10.24,13.81
Mount%20Vernon,2020-06-04,48.2,57.4,71.6,,47.8,0.0,10.0,,5.41,10.24,13.81
Mount%20Vernon,2020-06-05,44.6,58.0,75.2,,48.6,0.0,9.6,,3.11,11.39,
Mount%20Vernon,2020-06-06,50.0,57.1,73.4,,49.6,0.0,9.3,,4.03,9.21,13.81
Mount%20Vernon,2020-06-07,48.2,57.1,68.0,,48.3,0.0,9.9,,4.26,9.21,17.26
Mount%20Vernon,2020-06-08,51.8,58.6,68.0,,45.1,0.0,10.0,,7.48,12.77,20.83
Mount%20Vernon,2020-06-09,50.0,56.5,66.2,,49.1,0.0,9.7,,7.6,13.81,21.86
Mount%20Vernon,2020-06-10,51.8,61.2,75.2,,55.7,0.0,9.7,,4.6,12.77,18.3
Mount%20Vernon,2020-06-11,53.6,60.4,73.4,,55.8,0.0,9.7,,2.3,8.06,13.81
Mount%20Vernon,2020-06-12,53.6,58.1,75.2,,54.0,0.0,8.1,,2.76,9.21,
Mount%20Vernon,2020-06-13,50.0,56.7,68.0,,51.3,0.0,9.3,,2.07,8.06,16.11
Mount%20Vernon,2020-06-14,48.2,55.7,68.0,,48.4,0.0,10.0,,5.75,11.39,18.3
Mount%20Vernon,2020-06-15,51.8,56.2,68.0,,49.9,0.0,9.3,,7.13,10.24,14.96
Mount%20Vernon,2020-06-16,50.0,55.8,66.2,,51.3,0.0,9.5,,1.84,10.24,12.77
