location,date,Minimum Temperature,Mean Temperature,Maximum Temperature,Mean Sea Level Pressure,Mean Dew Point,Total Precipitation,Visibility,Snow Depth,Mean Wind Speed,Maximum Sustained Wind Speed,Maximum Wind Gust
North%20Marysville,2020-06-01,46.0,54.9,66.0,30.16,45.3,0.01,10.0,,4.95,11.39,17.26
North%20Marysville,2020-06-02,43.0,53.2,66.0,30.22,45.6,0.0,10.0,,5.29,12.77,
North%20Marysville,2020-06-03,43.0,56.0,64.0,30.22,49.1,0.0,10.0,,5.87,13.81,
North%20Marysville,2020-06-04,46.9,56.0,64.9,30.13,46.1,0.0,10.0,,3.91,11.39,
North%20Marysville,2020-06-05,44.1,54.8,66.0,29.87,48.0,0.0,10.0,,5.87,11.39,
North%20Marysville,2020-06-06,44.1,55.1,64.0,29.78,48.4,0.0,9.8,,5.29,11.39,
North%20Marysville,2020-06-07,50.0,53.9,64.9,29.91,49.0,0.41,9.8,,4.37,12.77,20.83
North%20Marysville,2020-06-08,46.9,54.6,64.9,30.16,46.9,0.11,9.8,,6.9,14.96,21.86
North%20Marysville,2020-06-09,48.9,55.4,62.1,30.12,49.9,0.15,9.9,,9.09,16.11,24.17
North%20Marysville,2020-06-10,50.0,62.2,73.0,30.12,55.4,0.34,9.8,,6.67,16.11,20.83
North%20Marysville,2020-06-11,55.9,61.3,73.0,30.08,55.0,0.0,10.0,,4.37,9.21,
North%20Marysville,2020-06-12,53.6,57.1,68.0,30.02,52.7,0.13,9.3,,4.26,11.39,
North%20Marysville,2020-06-13,51.1,55.0,64.0,29.97,49.9,0.43,10.0,,2.88,12.77,
North%20Marysville,2020-06-14,48.0,53.2,64.0,30.02,47.7,0.79,9.6,,5.18,12.77,
North%20Marysville,2020-06-15,48.0,55.4,62.1,29.93,49.7,0.09,10.0,,5.18,13.81,17.26
North%20Marysville,2020-06-16,51.1,55.2,64.0,30.04,49.5,0.15,9.9,,3.34,11.39,
North%20Marysville,2020-06-17,48.0,58.1,70.0,30.25,49.7,0.02,10.0,,3.91,12.77,
North%20Marysville,2020-06-18,46.0,59.0,73.0,30.26,50.7,0.0,10.0,,7.02,12.77,
North%20Marysville,2020-06-19,46.0,63.3,78.1,30.03,53.8,0.0,10.0,,5.18,12.77,
North%20Marysville,2020-06-20,48.9,65.2,78.1,29.93,57.0,0.0,10.0,,6.67,13.81,
North%20Marysville,2020-06-21,53.1,60.2,72.0,30.08,54.9,0.0,8.9,,5.52,10.24,
North%20Marysville,2020-06-22,46.0,59.3,73.9,30.22,50.7,0.0,10.0,,4.83,12.77,
North%20Marysville,2020-06-23,46.0,64.2,78.1,30.09,53.4,0.0,10.0,,5.41,14.96,
North%20Marysville,2020-06-24,51.1,65.2,78.1,29.95,58.1,0.0,10.0,,2.65,8.06,
North%20Marysville,2020-06-25,53.1,62.9,77.0,30.07,56.4,0.0,10.0,,5.29,13.81,
North%20Marysville,2020-06-26,50.0,63.4,77.0,30.07,54.4,0.0,10.0,,6.33,13.81,
North%20Marysville,2020-06-27,50.0,57.9,73.0,30.02,51.5,0.0,9.7,,5.64,12.77,
North%20Marysville,2020-06-28,52.0,57.8,68.0,29.90,50.9,0.0,9.5,,5.98,13.81,
North%20Marysville,2020-06-29,50.0,60.9,72.0,29.97,53.0,0.0,9.9,,6.1,11.39,20.83
North%20Marysville,2020-06-30,48.9,59.9,72.0,29.98,53.9,0.0,9.6,,5.98,12.77,17.26
North%20Marysville,2020-07-01,53.1,55.9,62.1,29.97,52.1,0.09,9.7,,6.56,12.77,
North%20Marysville,2020-07-02,51.8,55.9,62.1,29.98,52.5,0.25,8.3,,6.67,17.26,21.86
North%20Marysville,2020-07-03,52.0,57.3,63.0,30.05,52.1,0.22,10.0,,3.68,8.06,
