location,date,Minimum Temperature,Mean Temperature,Maximum Temperature,Mean Sea Level Pressure,Mean Dew Point,Total Precipitation,Visibility,Snow Depth,Mean Wind Speed,Maximum Sustained Wind Speed,Maximum Wind Gust
Oak%20Harbor,2020-06-01,48.0,54.4,62.1,30.18,46.1,0.0,10.0,,8.29,10.24,
Oak%20Harbor,2020-06-02,46.9,53.3,62.1,30.24,46.5,0.0,9.9,,5.41,9.21,
Oak%20Harbor,2020-06-03,46.0,53.8,59.0,30.26,48.0,0.04,9.9,,4.6,10.24,
Oak%20Harbor,2020-06-04,46.0,55.5,64.0,30.14,46.7,0.0,9.9,,7.36,12.77,18.3
Oak%20Harbor,2020-06-05,46.9,54.3,64.0,29.89,48.0,0.0,10.0,,5.52,12.77,
Oak%20Harbor,2020-06-06,46.9,54.2,64.0,29.80,47.7,0.06,9.5,,8.06,16.11,20.83
Oak%20Harbor,2020-06-07,51.1,55.0,63.0,29.93,47.4,0.09,10.0,,8.17,12.77,
Oak%20Harbor,2020-06-08,51.1,56.1,63.0,30.16,45.3,0.01,10.0,,13.0,20.83,31.07
Oak%20Harbor,2020-06-09,52.0,56.2,64.0,30.10,48.5,0.12,9.2,,14.38,24.17,33.26
Oak%20Harbor,2020-06-10,52.0,59.8,71.1,30.13,52.9,0.12,9.9,,6.44,12.77,
Oak%20Harbor,2020-06-11,53.1,57.8,71.1,30.09,51.7,0.0,9.5,,5.29,10.24,
Oak%20Harbor,2020-06-12,52.0,54.8,64.0,30.05,50.0,0.08,7.8,,3.91,8.06,
Oak%20Harbor,2020-06-13,50.0,54.9,61.0,29.99,48.5,0.69,10.0,,5.64,12.77,
Oak%20Harbor,2020-06-14,48.9,55.9,66.0,30.01,46.2,0.01,10.0,,8.52,12.77,18.3
Oak%20Harbor,2020-06-15,48.9,56.2,66.0,29.94,48.4,0.02,9.6,,8.52,14.96,23.02
Oak%20Harbor,2020-06-16,51.1,54.8,60.1,30.06,49.3,0.3,9.6,,5.64,9.21,
Oak%20Harbor,2020-06-17,51.1,57.1,64.0,30.27,49.1,0.0,10.0,,7.13,13.81,
Oak%20Harbor,2020-06-18,51.1,56.4,64.0,30.28,49.6,0.0,9.8,,8.63,18.3,
Oak%20Harbor,2020-06-19,50.0,56.9,66.9,30.06,50.6,0.0,8.8,,3.34,10.24,
Oak%20Harbor,2020-06-20,50.0,61.8,73.0,29.94,55.2,0.01,10.0,,5.64,13.81,
Oak%20Harbor,2020-06-21,54.0,58.1,73.0,30.11,50.9,0.08,9.6,,8.52,13.81,
