location,date,Minimum Temperature,Mean Temperature,Maximum Temperature,Mean Sea Level Pressure,Mean Dew Point,Total Precipitation,Visibility,Snow Depth,Mean Wind Speed,Maximum Sustained Wind Speed,Maximum Wind Gust
Orchards,2020-06-01,48.9,58.2,72.0,30.12,42.6,0.0,10.0,,6.56,12.77,
Orchards,2020-06-02,48.9,62.2,79.0,30.18,43.5,0.0,10.0,,4.03,12.77,17.26
Orchards,2020-06-03,50.0,62.1,79.0,30.16,46.0,0.0,10.0,,8.4,17.26,25.32
Orchards,2020-06-04,54.0,62.2,73.9,30.09,45.1,0.0,10.0,,7.02,11.39,19.68
Orchards,2020-06-05,54.0,62.5,73.0,29.81,47.5,0.0,10.0,,6.9,14.96,
Orchards,2020-06-06,52.0,56.1,69.1,29.81,48.9,0.38,9.3,,4.37,12.77,
Orchards,2020-06-07,48.9,53.4,61.0,29.97,47.0,1.02,9.7,,6.1,14.96,18.3
Orchards,2020-06-08,48.9,56.5,63.0,30.22,46.9,0.27,9.7,,6.33,16.11,
Orchards,2020-06-09,51.1,56.8,66.0,30.17,50.2,0.55,9.3,,7.71,16.11,23.02
Orchards,2020-06-10,51.1,64.8,78.1,30.12,58.2,0.11,9.7,,7.6,12.77,19.68
Orchards,2020-06-11,60.1,66.9,79.0,30.05,52.9,0.0,10.0,,4.83,14.96,
Orchards,2020-06-12,57.0,62.1,75.0,30.01,51.6,0.03,9.5,,5.52,9.21,
Orchards,2020-06-13,53.1,56.0,64.9,30.00,50.3,0.04,10.0,,5.64,12.77,
Orchards,2020-06-14,50.0,56.9,68.0,30.03,47.8,0.21,9.9,,4.03,11.39,
Orchards,2020-06-15,50.0,61.0,68.0,29.96,50.3,0.15,9.8,,7.25,14.96,20.83
Orchards,2020-06-16,53.1,57.6,66.0,30.03,48.5,0.27,10.0,,6.9,12.77,
Orchards,2020-06-17,52.0,60.3,73.9,30.24,49.7,0.13,10.0,,3.34,12.77,
Orchards,2020-06-18,52.0,64.0,80.1,30.20,49.7,0.0,10.0,,5.64,12.77,17.26
Orchards,2020-06-19,53.1,70.3,87.1,29.98,51.8,0.0,10.0,,4.37,11.39,
Orchards,2020-06-20,57.0,69.5,87.1,29.93,55.0,0.0,9.3,,4.14,10.24,
Orchards,2020-06-21,60.1,65.7,75.9,30.09,56.0,0.33,10.0,,3.68,10.24,
Orchards,2020-06-22,54.0,65.9,84.9,30.16,50.5,0.0,10.0,,6.79,11.39,
Orchards,2020-06-23,54.0,75.7,93.0,30.00,54.4,0.0,10.0,,6.67,12.77,20.83
Orchards,2020-06-24,62.1,73.6,93.0,29.93,58.0,0.0,10.0,,5.52,12.77,
Orchards,2020-06-25,59.0,67.3,84.0,30.01,55.9,0.0,10.0,,8.63,14.96,21.86
Orchards,2020-06-26,59.0,72.8,87.1,30.01,54.6,0.0,10.0,,7.6,13.81,24.17
