location,date,Minimum Temperature,Mean Temperature,Maximum Temperature,Mean Sea Level Pressure,Mean Dew Point,Total Precipitation,Visibility,Snow Depth,Mean Wind Speed,Maximum Sustained Wind Speed,Maximum Wind Gust
Pasco,2020-06-01,51.1,65.0,82.0,30.00,42.8,0.0,10.0,,5.18,11.39,18.3
Pasco,2020-06-02,45.0,67.1,84.9,30.09,40.9,0.0,10.0,,5.52,11.39,
Pasco,2020-06-03,45.0,68.5,84.9,30.06,44.4,0.0,10.0,,5.52,17.26,25.32
Pasco,2020-06-04,48.0,70.0,82.0,29.94,37.8,0.0,10.0,,7.94,19.68,
Pasco,2020-06-05,48.9,67.9,81.0,29.72,47.5,0.0,10.0,,6.21,12.77,
Pasco,2020-06-06,51.1,65.4,77.0,29.68,44.1,0.0,10.0,,9.78,21.86,29.92
Pasco,2020-06-07,51.1,62.3,77.0,29.77,38.8,0.0,10.0,,15.77,25.32,32.22
Pasco,2020-06-08,51.1,63.5,75.0,30.02,37.0,0.0,10.0,,12.54,27.73,34.41
Pasco,2020-06-09,52.0,62.9,77.0,30.14,46.5,0.0,9.9,,10.13,20.83,31.07
Pasco,2020-06-10,55.9,71.0,89.1,30.10,52.2,0.08,10.0,,7.25,18.3,23.02
Pasco,2020-06-11,57.0,74.1,89.1,29.96,54.3,0.0,10.0,,4.83,10.24,
Pasco,2020-06-12,57.9,73.6,89.1,29.87,54.3,0.0,10.0,,3.91,9.21,
Pasco,2020-06-13,55.0,64.0,86.0,29.81,52.9,0.13,9.9,,11.74,27.73,35.79
Pasco,2020-06-14,52.0,62.0,75.0,29.93,41.3,0.19,10.0,,13.12,20.83,33.26
Pasco,2020-06-15,52.0,64.0,75.0,29.93,44.8,0.0,10.0,,7.83,18.3,23.02
Pasco,2020-06-16,50.0,64.0,73.0,29.94,42.6,0.01,10.0,,9.78,14.96,19.68
Pasco,2020-06-17,50.0,66.1,84.0,30.08,43.6,0.0,10.0,,7.13,12.77,21.86
Pasco,2020-06-18,48.9,71.3,89.1,30.11,46.5,0.0,10.0,,6.1,16.11,
Pasco,2020-06-19,48.9,72.7,93.0,29.94,46.9,0.0,10.0,,3.8,9.21,
Pasco,2020-06-20,51.1,77.3,93.0,29.85,52.2,0.0,9.8,,7.71,18.3,
