location,date,Minimum Temperature,Mean Temperature,Maximum Temperature,Mean Sea Level Pressure,Mean Dew Point,Total Precipitation,Visibility,Snow Depth,Mean Wind Speed,Maximum Sustained Wind Speed,Maximum Wind Gust
Port%20Angeles,2020-06-01,48.0,52.7,55.4,30.15,,0.0,,,9.21,16.11,
Port%20Angeles,2020-06-02,47.1,52.5,55.8,30.21,,0.0,,,7.6,18.3,
Port%20Angeles,2020-06-03,48.4,53.4,57.7,30.23,,0.0,,,5.52,16.11,
Port%20Angeles,2020-06-04,52.0,55.1,58.5,30.12,,0.0,,,10.01,19.68,
Port%20Angeles,2020-06-05,48.2,54.0,62.1,29.88,,0.0,,,6.79,13.81,
Port%20Angeles,2020-06-06,52.7,54.1,57.7,29.77,,0.0,,,6.1,17.26,
Port%20Angeles,2020-06-07,51.6,53.2,57.0,29.89,,0.0,,,10.59,25.32,
Port%20Angeles,2020-06-08,50.4,54.6,58.1,30.12,,0.0,,,12.08,27.73,
Port%20Angeles,2020-06-09,49.1,52.9,59.5,30.05,,0.0,,,3.91,10.24,
Port%20Angeles,2020-06-10,53.4,56.6,62.2,30.11,,0.0,,,4.03,14.96,
Port%20Angeles,2020-06-11,56.5,58.2,61.2,30.06,,0.0,,,6.67,11.39,
Port%20Angeles,2020-06-12,51.8,56.0,61.9,30.01,,0.0,,,6.44,13.81,
Port%20Angeles,2020-06-13,50.9,53.6,57.9,29.96,,0.0,,,4.95,10.24,
Port%20Angeles,2020-06-14,45.7,52.2,60.1,29.98,,0.0,,,5.87,11.39,
Port%20Angeles,2020-06-15,51.8,54.0,57.6,29.90,,0.0,,,4.49,17.26,
Port%20Angeles,2020-06-16,50.2,53.9,57.7,30.02,,0.0,,,6.9,20.83,
Port%20Angeles,2020-06-17,52.7,55.8,59.2,30.23,,0.0,,,10.36,19.68,
Port%20Angeles,2020-06-18,52.2,54.8,58.8,30.26,,0.0,,,11.05,20.83,
Port%20Angeles,2020-06-19,51.6,55.1,57.7,30.03,,0.0,,,8.52,17.26,
Port%20Angeles,2020-06-20,55.0,60.3,66.0,29.91,,0.0,,,4.72,10.24,
Port%20Angeles,2020-06-21,54.5,56.7,60.4,30.08,,0.0,,,11.51,16.11,
Port%20Angeles,2020-06-22,49.5,54.8,58.6,30.22,,0.0,,,7.36,14.96,
Port%20Angeles,2020-06-23,54.7,57.7,62.6,30.10,,0.0,,,6.56,19.68,
Port%20Angeles,2020-06-24,55.2,58.9,64.0,29.95,,0.0,,,8.52,16.11,
Port%20Angeles,2020-06-25,52.0,54.4,58.1,30.08,,0.0,,,7.94,19.68,
Port%20Angeles,2020-06-26,53.6,56.4,58.8,30.06,,0.0,,,13.46,20.83,
Port%20Angeles,2020-06-27,53.4,55.7,58.8,29.99,,0.0,,,17.84,28.88,
Port%20Angeles,2020-06-28,52.5,56.3,61.0,29.89,,0.0,,,9.32,21.86,
Port%20Angeles,2020-06-29,51.3,55.4,60.4,29.94,,0.0,,,7.6,18.3,
Port%20Angeles,2020-06-30,52.7,56.2,60.4,29.96,,0.0,,,10.82,19.68,
Port%20Angeles,2020-07-01,53.4,55.6,59.2,29.96,,0.0,,,6.44,18.3,
Port%20Angeles,2020-07-02,52.5,54.5,57.2,29.96,,0.0,,,7.71,16.11,
Port%20Angeles,2020-07-03,52.3,54.5,56.7,30.04,,0.0,,,4.37,10.24,
Port%20Angeles,2020-07-04,51.8,54.8,62.6,30.19,,0.0,,,2.3,9.21,
Port%20Angeles,2020-07-05,50.5,54.9,57.9,30.19,,0.0,,,8.29,16.11,
Port%20Angeles,2020-07-06,54.5,57.1,60.6,30.08,,0.0,,,9.78,19.68,
Port%20Angeles,2020-07-07,55.0,56.8,59.4,30.04,,0.0,,,10.01,17.26,
