location,date,Minimum Temperature,Mean Temperature,Maximum Temperature,Mean Sea Level Pressure,Mean Dew Point,Total Precipitation,Visibility,Snow Depth,Mean Wind Speed,Maximum Sustained Wind Speed,Maximum Wind Gust
Pullman,2020-06-01,43.0,53.0,64.9,30.05,42.7,0.18,10.0,,3.34,13.81,20.83
Pullman,2020-06-02,43.0,57.7,71.1,30.16,44.8,0.0,9.8,,3.34,9.21,
Pullman,2020-06-03,44.1,59.9,71.1,30.09,43.7,0.0,10.0,,6.21,12.77,
Pullman,2020-06-04,46.9,58.4,68.0,29.97,42.1,0.0,10.0,,7.71,21.86,27.73
Pullman,2020-06-05,46.9,59.1,72.0,29.78,45.4,0.0,9.9,,4.49,10.24,
Pullman,2020-06-06,46.9,54.7,72.0,29.72,47.5,0.28,9.3,,6.1,13.81,20.83
Pullman,2020-06-07,43.0,49.6,60.1,29.78,39.3,0.0,10.0,,12.08,20.83,28.88
Pullman,2020-06-08,43.0,50.2,61.0,30.02,40.1,0.15,9.4,,15.88,25.32,33.26
Pullman,2020-06-09,44.1,50.2,61.0,30.20,40.2,0.0,9.4,,7.71,21.86,27.73
Pullman,2020-06-10,44.1,58.0,73.9,30.19,50.7,0.1,10.0,,5.41,9.21,
Pullman,2020-06-11,48.9,66.1,79.0,30.03,52.5,0.0,9.7,,5.87,18.3,
Pullman,2020-06-12,54.0,65.2,79.0,29.92,56.7,0.0,10.0,,2.88,11.39,
Pullman,2020-06-13,45.0,53.2,75.0,29.82,49.1,0.12,8.3,,11.62,19.68,27.73
Pullman,2020-06-14,44.1,49.3,57.9,29.97,40.4,0.4,9.9,,10.13,18.3,28.88
Pullman,2020-06-15,44.1,48.6,57.9,30.00,43.1,0.01,9.1,,10.7,14.96,
Pullman,2020-06-16,44.1,51.3,59.0,29.98,44.7,0.18,10.0,,5.18,9.21,
Pullman,2020-06-17,46.0,54.2,66.9,30.10,44.2,0.02,10.0,,7.94,17.26,25.32
Pullman,2020-06-18,46.0,59.4,72.0,30.18,49.1,0.04,9.9,,4.72,13.81,
Pullman,2020-06-19,50.0,64.4,77.0,30.04,50.6,0.0,10.0,,5.52,12.77,
Pullman,2020-06-20,54.0,64.6,77.0,29.94,52.6,0.0,9.8,,4.95,13.81,
Pullman,2020-06-21,54.0,62.9,73.0,30.01,52.1,0.03,10.0,,6.9,13.81,
Pullman,2020-06-22,46.0,62.2,78.1,30.13,48.2,0.0,9.9,,2.3,6.9,
Pullman,2020-06-23,46.0,67.8,84.0,30.08,52.6,0.0,10.0,,2.76,6.9,
Pullman,2020-06-24,52.0,71.5,84.0,29.86,56.0,0.0,10.0,,4.6,12.77,18.3
Pullman,2020-06-25,55.0,68.7,82.9,29.93,52.2,0.0,10.0,,5.52,13.81,
Pullman,2020-06-26,54.0,69.8,84.9,29.96,54.9,0.0,10.0,,4.03,12.77,19.68
Pullman,2020-06-27,54.0,69.2,84.9,29.80,51.8,0.0,10.0,,9.09,19.68,25.32
Pullman,2020-06-28,46.0,55.8,73.0,29.72,43.1,0.02,10.0,,9.09,20.83,28.88
Pullman,2020-06-29,46.0,55.5,66.0,29.81,48.6,0.09,10.0,,4.72,13.81,
Pullman,2020-06-30,48.0,59.7,70.0,29.84,50.1,0.23,9.9,,10.82,23.02,33.26
Pullman,2020-07-01,46.0,55.6,70.0,29.86,41.3,0.03,10.0,,14.73,27.73,37.98
Pullman,2020-07-02,46.0,57.1,70.0,29.94,42.9,0.0,9.8,,6.67,13.81,21.86
Pullman,2020-07-03,48.0,62.0,75.9,29.99,45.9,0.0,10.0,,3.34,8.06,
Pullman,2020-07-04,46.0,60.8,75.9,30.06,42.8,0.0,10.0,,4.03,12.77,
Pullman,2020-07-05,42.1,60.5,77.0,30.11,42.6,0.0,9.8,,2.53,8.06,
Pullman,2020-07-06,42.1,62.4,78.1,29.99,45.0,0.0,10.0,,2.99,9.21,
Pullman,2020-07-07,43.0,61.4,79.0,29.91,47.6,0.09,9.7,,9.78,19.68,28.88
Pullman,2020-07-08,46.9,60.1,72.0,30.03,44.9,0.0,9.9,,6.79,12.77,
Pullman,2020-07-09,46.9,62.6,79.0,29.97,46.2,0.0,9.9,,3.22,9.21,
Pullman,2020-07-10,48.0,64.6,79.0,30.07,51.1,0.02,10.0,,5.06,9.21,
Pullman,2020-07-11,53.1,69.0,87.1,30.07,50.8,0.0,9.6,,7.02,14.96,20.83
Pullman,2020-07-12,54.0,66.5,87.1,30.02,44.7,0.0,10.0,,10.13,16.11,25.32
Pullman,2020-07-13,39.9,59.1,73.0,30.03,40.4,0.0,9.9,,4.6,11.39,21.86
Pullman,2020-07-14,39.9,60.7,79.0,30.09,40.0,0.0,9.9,,2.3,6.9,
Pullman,2020-07-15,41.0,66.9,84.0,30.06,43.4,0.0,10.0,,3.57,10.24,
Pullman,2020-07-16,50.0,70.6,86.0,29.95,48.5,0.0,10.0,,5.29,13.81,18.3
Pullman,2020-07-17,57.0,70.4,84.9,29.90,49.2,0.0,10.0,,7.02,14.96,25.32
Pullman,2020-07-18,46.9,64.9,82.0,30.07,47.5,0.0,10.0,,2.88,9.21,17.26
Pullman,2020-07-19,46.9,68.7,87.1,30.06,48.6,0.0,10.0,,2.53,8.06,
Pullman,2020-07-20,50.0,72.3,89.1,30.01,51.8,0.0,10.0,,2.65,9.21,
Pullman,2020-07-21,54.0,74.0,91.9,29.89,50.2,0.0,10.0,,3.8,9.21,
Pullman,2020-07-22,55.9,73.7,91.9,29.75,50.7,0.0,9.9,,3.34,8.06,
Pullman,2020-07-23,55.9,72.2,88.0,29.79,45.6,0.0,9.1,,7.6,17.26,21.86
Pullman,2020-07-24,72.0,75.6,78.1,29.91,35.2,0.0,8.1,,18.18,23.02,29.92
Pullman,2020-07-25,43.0,62.0,78.1,30.03,39.9,0.0,9.8,,3.22,13.81,19.68
Pullman,2020-07-26,43.0,65.8,87.1,30.13,42.7,0.0,10.0,,1.61,5.87,
Pullman,2020-07-27,45.0,71.6,91.9,30.00,45.3,0.0,9.9,,2.07,5.87,
Pullman,2020-07-28,50.0,74.3,93.9,29.87,46.1,0.0,9.8,,2.65,8.06,
Pullman,2020-07-29,53.1,76.6,93.9,29.90,52.1,0.0,9.4,,6.33,18.3,25.32
Pullman,2020-07-30,59.0,80.9,99.0,29.98,52.5,0.0,9.5,,8.75,16.11,19.68
Pullman,2020-07-31,64.0,82.7,99.0,29.88,51.3,0.0,9.3,,6.44,14.96,
Pullman,2020-08-01,60.1,76.4,98.1,29.96,47.6,0.0,9.8,,4.72,11.39,
Pullman,2020-08-02,48.9,69.1,89.1,30.01,43.1,0.0,9.7,,2.53,8.06,
Pullman,2020-08-03,48.9,72.9,89.1,30.03,45.3,0.0,7.8,,7.6,13.81,24.17
Pullman,2020-08-04,50.0,68.7,87.1,30.06,43.7,0.0,9.4,,2.19,10.24,16.11
Pullman,2020-08-05,50.0,71.6,91.9,29.90,42.6,0.0,9.1,,1.96,6.9,
Pullman,2020-08-06,50.0,72.9,91.9,29.76,48.1,0.0,9.4,,7.94,20.83,28.88
Pullman,2020-08-07,46.0,60.4,79.0,30.05,41.8,0.04,9.7,,8.4,23.02,29.92
Pullman,2020-08-08,46.0,63.1,79.0,30.08,39.9,0.0,10.0,,4.37,14.96,23.02
Pullman,2020-08-09,48.0,64.5,79.0,30.11,43.0,0.0,10.0,,5.75,13.81,20.83
Pullman,2020-08-10,46.0,65.8,86.0,30.09,38.6,0.0,9.8,,2.53,8.06,
Pullman,2020-08-11,46.0,70.2,86.0,29.86,39.9,0.0,9.6,,5.18,19.68,31.07
Pullman,2020-08-12,53.1,66.2,84.9,29.86,36.0,0.0,9.0,,9.67,16.11,26.35
Pullman,2020-08-13,50.0,59.9,73.9,30.05,42.3,0.0,9.3,,7.48,11.39,18.3
Pullman,2020-08-14,41.0,60.1,82.0,30.15,30.8,0.0,8.6,,3.57,12.77,
Pullman,2020-08-15,41.0,70.1,93.0,30.11,36.1,0.0,9.5,,4.14,16.11,
Pullman,2020-08-16,69.1,81.1,100.0,30.00,40.9,0.0,8.8,,10.7,17.26,21.86
Pullman,2020-08-17,63.0,83.2,100.0,30.03,47.1,0.0,9.5,,3.68,11.39,19.68
Pullman,2020-08-18,63.0,85.2,99.0,30.02,51.3,0.0,9.2,,4.49,11.39,18.3
Pullman,2020-08-19,61.0,78.1,98.1,29.92,50.5,0.01,9.5,,3.91,9.21,
Pullman,2020-08-20,55.9,70.6,89.1,29.86,42.5,0.0,9.4,,3.68,13.81,
Pullman,2020-08-21,54.0,70.7,87.1,29.84,44.7,0.0,8.5,,3.8,12.77,20.83
Pullman,2020-08-22,54.0,70.7,87.1,29.96,50.0,0.0,9.3,,7.48,14.96,21.86
Pullman,2020-08-23,48.9,67.1,87.1,29.96,42.0,0.0,9.6,,2.42,8.06,
Pullman,2020-08-24,48.9,68.3,87.1,29.88,41.2,0.0,8.6,,2.53,10.24,
Pullman,2020-08-25,52.0,71.1,82.0,29.88,50.4,0.0,5.8,,5.75,13.81,
Pullman,2020-08-26,48.0,65.9,82.9,29.91,47.2,0.0,6.0,,1.38,9.21,
Pullman,2020-08-27,44.1,64.7,82.9,29.90,37.5,0.0,9.1,,3.22,9.21,
Pullman,2020-08-28,44.1,64.3,84.0,29.99,34.0,0.0,8.8,,1.96,6.9,
Pullman,2020-08-29,45.0,65.1,84.0,29.88,33.7,0.0,7.8,,5.64,17.26,25.32
Pullman,2020-08-30,48.0,63.3,80.1,29.97,32.4,0.0,9.8,,11.16,13.81,25.32
Pullman,2020-08-31,50.0,63.1,73.0,29.96,35.7,0.0,9.9,,7.94,13.81,21.86
Pullman,2020-09-01,51.1,63.9,82.9,30.06,43.1,0.0,9.6,,6.56,12.77,17.26
Pullman,2020-09-02,48.9,68.6,86.0,30.00,45.1,0.0,8.3,,6.33,17.26,27.73
Pullman,2020-09-03,48.9,68.9,87.1,30.07,40.7,0.0,9.1,,3.45,13.81,21.86
Pullman,2020-09-04,48.9,72.9,96.1,30.05,39.2,0.0,9.5,,5.41,14.96,
Pullman,2020-09-05,55.0,73.8,96.1,30.00,39.5,0.0,8.9,,4.6,14.96,21.86
Pullman,2020-09-06,48.9,67.0,89.1,30.15,34.6,0.0,8.8,,3.57,12.77,17.26
Pullman,2020-09-07,48.9,64.9,87.1,30.05,36.8,0.0,8.8,,11.05,29.92,41.31
Pullman,2020-09-08,37.0,53.0,73.0,30.42,22.6,0.0,10.0,,9.55,23.02,36.94
Pullman,2020-09-09,37.0,59.7,81.0,30.22,28.6,0.0,9.5,,6.33,16.11,23.02
Pullman,2020-09-10,44.1,65.3,84.9,30.10,35.0,0.0,8.8,,3.57,11.39,
Pullman,2020-09-11,44.1,63.5,84.9,30.03,30.4,0.0,6.6,,1.61,5.87,
Pullman,2020-09-12,44.1,63.8,84.0,29.98,33.3,0.0,4.1,,2.3,9.21,
Pullman,2020-09-13,48.0,62.5,80.1,29.97,33.3,0.0,0.9,,4.26,14.96,
Pullman,2020-09-14,48.0,62.8,81.0,29.95,39.1,0.0,1.3,,3.45,10.24,
Pullman,2020-09-15,45.0,60.7,81.0,30.09,38.6,0.0,1.4,,1.38,6.9,
Pullman,2020-09-16,45.0,65.5,84.0,30.09,41.9,0.0,1.8,,4.83,17.26,
Pullman,2020-09-17,46.0,61.4,84.0,30.02,40.0,0.0,1.8,,2.88,10.24,
Pullman,2020-09-18,45.0,59.2,79.0,29.90,41.7,0.0,1.4,,1.38,5.87,
Pullman,2020-09-19,45.0,59.3,75.9,29.98,48.5,0.0,5.2,,4.37,10.24,
Pullman,2020-09-20,45.0,57.8,71.1,30.07,47.9,0.1,8.8,,2.99,6.9,
Pullman,2020-09-21,45.0,60.7,75.9,29.99,44.5,0.0,9.1,,3.57,9.21,
Pullman,2020-09-22,50.0,60.7,75.9,29.97,42.2,0.0,7.8,,1.61,6.9,
Pullman,2020-09-23,51.1,61.7,75.0,29.99,45.3,0.0,7.4,,2.53,9.21,
Pullman,2020-09-24,52.0,60.8,75.0,29.91,45.0,0.01,8.0,,13.46,20.83,32.22
Pullman,2020-09-25,43.0,52.3,66.0,29.94,41.2,0.02,9.4,,5.64,13.81,17.26
Pullman,2020-09-26,39.0,54.8,63.0,30.00,40.6,0.0,9.5,,13.12,23.02,31.07
Pullman,2020-09-27,37.0,51.9,64.0,30.33,40.7,0.04,10.0,,4.6,11.39,
Pullman,2020-09-28,37.0,54.0,73.0,30.47,35.6,0.0,9.6,,5.41,17.26,
Pullman,2020-09-29,41.0,63.5,82.9,30.25,40.1,0.0,8.9,,7.6,16.11,
Pullman,2020-09-30,46.0,62.3,82.9,30.22,40.2,0.0,7.9,,2.07,9.21,
Pullman,2021-06-01,45.0,69.0,84.9,30.09,45.4,0.0,9.8,,3.57,8.06,
Pullman,2021-06-02,50.0,73.3,91.0,29.93,48.9,0.0,9.5,,3.8,10.24,
Pullman,2021-06-03,55.0,74.3,91.0,29.84,49.9,0.0,9.8,,3.57,9.21,
Pullman,2021-06-04,60.1,72.9,87.1,29.86,43.7,0.0,10.0,,11.74,18.3,25.32
Pullman,2021-06-05,53.1,62.6,80.1,29.87,33.1,0.0,9.8,,13.0,29.92,40.28
Pullman,2021-06-06,39.9,50.2,66.9,29.96,34.6,0.01,9.8,,8.29,27.73,36.94
Pullman,2021-06-07,37.9,48.4,59.0,29.93,34.0,0.0,10.0,,4.95,11.39,20.83
Pullman,2021-06-08,37.9,55.9,69.1,29.87,36.8,0.01,10.0,,5.18,12.77,19.68
Pullman,2021-06-09,48.0,56.3,69.1,30.01,38.4,0.02,10.0,,7.02,11.39,
Pullman,2021-06-10,48.0,54.8,64.0,30.00,37.9,0.0,9.8,,11.16,23.02,35.79
Pullman,2021-06-11,42.1,55.8,70.0,30.03,35.4,0.0,9.7,,10.01,17.26,24.17
Pullman,2021-06-12,42.1,59.1,73.0,30.02,46.1,0.1,9.5,,4.6,10.24,
Pullman,2021-06-13,50.0,71.3,87.1,29.88,48.0,0.01,10.0,,8.29,14.96,
Pullman,2021-06-14,55.9,70.4,87.1,29.86,51.6,0.0,10.0,,6.1,14.96,26.35
Pullman,2021-06-15,51.1,60.3,82.0,30.02,50.3,0.0,9.3,,7.6,27.73,43.84
Pullman,2021-06-16,44.1,55.1,69.1,30.32,45.1,0.58,9.9,,3.22,10.24,
Pullman,2021-06-17,44.1,60.2,75.0,30.17,43.1,0.0,10.0,,2.19,6.9,
Pullman,2021-06-18,44.1,65.8,82.0,30.03,43.7,0.0,10.0,,2.88,9.21,
Pullman,2021-06-19,46.9,66.2,82.0,29.92,45.7,0.0,10.0,,5.29,18.3,26.35
Pullman,2021-06-20,48.9,68.0,81.0,29.93,47.9,0.0,10.0,,4.95,11.39,
Pullman,2021-06-21,55.9,71.7,84.9,29.95,49.5,0.0,9.9,,5.87,11.39,
Pullman,2021-06-22,55.0,72.7,87.1,29.80,50.5,0.0,8.2,,5.52,16.11,24.17
Pullman,2021-06-23,55.0,73.7,87.1,29.80,51.1,0.0,9.3,,3.8,14.96,21.86
Pullman,2021-06-24,52.0,70.7,84.9,29.91,45.1,0.0,9.9,,5.18,13.81,18.3
Pullman,2021-06-25,52.0,72.0,86.0,29.95,51.0,0.0,9.9,,3.8,10.24,
Pullman,2021-06-26,55.0,76.5,93.9,30.04,53.1,0.0,9.9,,3.68,11.39,
Pullman,2021-06-27,60.1,82.2,98.1,30.03,52.5,0.0,10.0,,8.17,14.96,20.83
Pullman,2021-06-28,66.0,86.2,102.0,29.93,51.7,0.0,9.7,,10.01,19.68,21.86
Pullman,2021-06-29,66.0,87.6,106.0,29.81,52.5,0.0,9.5,,6.9,16.11,
Pullman,2021-06-30,66.0,89.2,106.0,29.72,50.1,0.0,9.5,,7.02,10.24,
Pullman,2021-07-01,71.1,80.7,100.0,29.78,57.1,0.08,9.1,,6.67,27.73,40.28
Pullman,2021-07-02,61.0,74.7,88.0,29.86,50.4,0.0,10.0,,3.34,9.21,
Pullman,2021-07-03,51.1,72.1,91.0,29.90,44.2,0.0,9.8,,2.3,9.21,19.68
Pullman,2021-07-04,51.1,73.4,91.0,29.87,40.1,0.0,8.7,,4.14,16.11,24.17
Pullman,2021-07-05,51.1,71.9,89.1,29.94,39.0,0.0,10.0,,3.34,11.39,17.26
Pullman,2021-07-06,51.1,73.9,93.0,29.97,39.0,0.0,9.8,,2.99,9.21,
Pullman,2021-07-07,52.0,73.8,93.0,29.83,44.8,0.0,9.7,,7.71,23.02,33.26
Pullman,2021-07-08,54.0,73.3,87.1,29.89,39.8,0.0,9.8,,5.87,14.96,24.17
Pullman,2021-07-09,50.0,70.5,87.1,30.01,37.9,0.0,9.3,,2.3,6.9,
Pullman,2021-07-10,50.0,74.2,91.9,30.05,40.4,0.0,6.9,,3.45,9.21,
Pullman,2021-07-11,51.1,72.1,91.9,30.01,42.0,0.0,10.0,,3.45,11.39,
