location,date,Minimum Temperature,Mean Temperature,Maximum Temperature,Mean Sea Level Pressure,Mean Dew Point,Total Precipitation,Visibility,Snow Depth,Mean Wind Speed,Maximum Sustained Wind Speed,Maximum Wind Gust
Richland,2020-06-01,52.2,64.4,82.0,,40.8,0.0,10.0,,1.38,11.39,
Richland,2020-06-02,48.4,67.8,84.6,,36.7,0.0,10.0,,4.6,11.39,16.11
Richland,2020-06-03,50.7,68.8,85.3,,41.6,0.0,10.0,,7.94,24.17,31.07
Richland,2020-06-04,53.8,71.3,81.7,,38.0,0.0,10.0,,7.48,20.83,27.73
Richland,2020-06-05,59.2,69.9,79.7,,43.6,0.0,10.0,,7.02,12.77,16.11
Richland,2020-06-06,50.9,65.3,77.0,,43.3,,10.0,,7.83,17.26,25.32
Richland,2020-06-07,50.2,62.0,75.2,,37.8,,10.0,,11.05,23.02,31.07
Richland,2020-06-08,52.2,64.3,75.2,,35.4,0.0,9.9,,13.0,21.86,33.26
Richland,2020-06-09,55.6,62.6,77.0,,44.3,0.02,10.0,,5.64,16.11,27.73
Richland,2020-06-10,56.3,70.1,86.5,,52.9,0.0,10.0,,8.98,18.3,24.17
Richland,2020-06-11,62.2,75.3,88.0,,50.0,,10.0,,4.72,10.24,
Richland,2020-06-12,58.8,75.1,87.8,,51.7,0.0,10.0,,4.14,10.24,
Richland,2020-06-13,54.5,65.0,85.1,,51.3,0.17,10.0,,7.94,23.02,28.88
Richland,2020-06-14,49.3,61.4,75.4,,40.7,0.2,10.0,,9.44,19.68,26.35
Richland,2020-06-15,55.4,63.3,75.2,,45.2,0.0,10.0,,7.6,19.68,25.32
Richland,2020-06-16,53.1,63.7,72.9,,42.8,0.0,10.0,,7.6,12.77,19.68
Richland,2020-06-17,51.8,66.9,83.8,,42.8,0.0,9.9,,6.79,14.96,24.17
Richland,2020-06-18,55.9,72.3,87.1,,46.0,,10.0,,5.52,14.96,21.86
Richland,2020-06-19,55.4,74.1,92.8,,48.7,0.0,10.0,,3.22,10.24,
Richland,2020-06-20,67.5,79.7,92.5,,50.0,0.05,9.9,,7.02,19.68,29.92
