location,date,Minimum Temperature,Mean Temperature,Maximum Temperature,Mean Sea Level Pressure,Mean Dew Point,Total Precipitation,Visibility,Snow Depth,Mean Wind Speed,Maximum Sustained Wind Speed,Maximum Wind Gust
Salmon%20Creek,2020-06-01,45.0,58.5,72.0,30.12,42.0,0.0,10.0,,4.49,9.21,
Salmon%20Creek,2020-06-02,45.0,62.2,79.0,30.18,43.1,0.0,10.0,,4.6,10.24,
Salmon%20Creek,2020-06-03,46.0,62.0,79.0,30.16,45.3,0.0,10.0,,7.02,12.77,20.83
Salmon%20Creek,2020-06-04,51.1,62.5,73.9,30.08,44.4,0.0,10.0,,6.21,12.77,20.83
Salmon%20Creek,2020-06-05,51.1,62.3,73.0,29.80,47.2,0.0,10.0,,6.44,13.81,20.83
Salmon%20Creek,2020-06-06,50.0,55.5,70.0,29.81,47.8,0.44,8.3,,3.45,12.77,17.26
Salmon%20Creek,2020-06-07,50.0,53.7,61.0,29.97,45.4,0.61,9.5,,2.99,8.06,
Salmon%20Creek,2020-06-08,50.0,57.4,64.0,30.22,45.2,0.23,9.7,,4.37,11.39,18.3
Salmon%20Creek,2020-06-09,51.8,57.2,64.9,30.17,49.4,0.52,8.3,,4.26,8.06,27.73
Salmon%20Creek,2020-06-10,52.0,64.9,78.1,30.10,57.3,0.13,9.4,,4.26,9.21,
Salmon%20Creek,2020-06-11,59.0,66.5,79.0,30.05,52.2,0.0,10.0,,4.72,10.24,
Salmon%20Creek,2020-06-12,57.0,62.2,75.0,30.00,50.0,0.01,9.4,,4.37,8.06,18.3
Salmon%20Creek,2020-06-13,54.0,56.4,62.1,30.00,48.9,0.08,9.4,,2.42,8.06,
Salmon%20Creek,2020-06-14,48.9,56.9,68.0,30.03,46.8,0.31,9.3,,1.38,9.21,
Salmon%20Creek,2020-06-15,48.9,61.0,68.0,29.96,49.2,0.17,8.8,,4.83,10.24,
Salmon%20Creek,2020-06-16,53.1,58.1,64.9,30.03,47.0,0.62,9.3,,5.06,11.39,
Salmon%20Creek,2020-06-17,50.0,60.7,73.9,30.24,48.4,0.08,9.9,,2.99,12.77,
