location,date,Minimum Temperature,Mean Temperature,Maximum Temperature,Mean Sea Level Pressure,Mean Dew Point,Total Precipitation,Visibility,Snow Depth,Mean Wind Speed,Maximum Sustained Wind Speed,Maximum Wind Gust
Spanaway,2020-06-01,41.0,54.4,67.6,30.15,41.4,0.0,10.0,,3.22,11.39,
Spanaway,2020-06-02,41.2,57.5,68.7,30.21,43.0,0.0,10.0,,3.68,12.77,17.26
Spanaway,2020-06-03,41.9,55.4,67.8,30.22,46.8,0.0,10.0,,2.88,9.21,
Spanaway,2020-06-04,46.9,59.5,69.1,30.11,45.2,0.0,9.9,,3.68,8.06,
Spanaway,2020-06-05,48.7,58.4,69.1,29.83,45.7,0.0,10.0,,5.18,10.24,
Spanaway,2020-06-06,47.8,55.5,68.4,29.79,44.9,0.01,10.0,,9.09,21.86,27.73
Spanaway,2020-06-07,47.5,52.0,63.1,29.94,47.3,0.23,9.3,,6.56,13.81,
Spanaway,2020-06-08,47.5,55.3,63.5,30.17,44.7,0.01,10.0,,11.05,17.26,21.86
Spanaway,2020-06-09,48.2,55.7,65.8,30.12,49.4,0.22,9.2,,5.41,19.68,24.17
Spanaway,2020-06-10,50.5,60.7,70.9,30.13,55.2,0.32,9.5,,5.41,16.11,20.83
Spanaway,2020-06-11,55.0,61.5,70.9,30.09,52.9,0.02,10.0,,4.6,11.39,
Spanaway,2020-06-12,53.6,59.2,69.3,30.03,51.4,0.14,9.6,,5.98,10.24,
Spanaway,2020-06-13,49.6,54.8,61.2,29.98,49.7,0.26,10.0,,6.33,16.11,
Spanaway,2020-06-14,44.4,53.1,64.0,30.02,45.8,0.12,10.0,,7.94,14.96,
Spanaway,2020-06-15,44.4,56.6,64.0,29.93,49.4,0.07,9.4,,4.49,16.11,21.86
Spanaway,2020-06-16,49.6,54.8,66.0,30.03,48.1,0.57,9.8,,3.68,12.77,20.83
Spanaway,2020-06-17,43.9,57.7,72.5,30.25,46.3,0.0,10.0,,4.37,13.81,
Spanaway,2020-06-18,43.9,62.3,76.1,30.25,49.7,0.0,9.4,,3.91,10.24,
Spanaway,2020-06-19,45.5,65.0,81.0,30.02,50.0,0.0,10.0,,2.3,10.24,
Spanaway,2020-06-20,48.4,66.9,81.0,29.95,53.6,0.0,10.0,,4.95,20.83,
Spanaway,2020-06-21,56.8,62.8,72.7,30.09,54.3,0.0,10.0,,8.4,14.96,18.3
Spanaway,2020-06-22,46.8,62.2,79.2,30.21,48.5,0.0,9.8,,3.34,10.24,
Spanaway,2020-06-23,46.8,68.7,84.7,30.08,46.9,0.0,10.0,,4.03,13.81,
Spanaway,2020-06-24,51.1,69.3,84.7,29.95,56.8,0.0,10.0,,5.75,12.77,18.3
Spanaway,2020-06-25,55.9,65.8,80.1,30.07,54.9,0.0,10.0,,5.29,14.96,
Spanaway,2020-06-26,52.0,68.5,81.0,30.05,54.5,0.0,10.0,,4.72,11.39,
Spanaway,2020-06-27,52.0,62.4,81.0,30.00,51.8,0.0,10.0,,10.47,14.96,20.83
Spanaway,2020-06-28,51.8,57.8,68.0,29.91,49.0,0.0,9.8,,9.09,16.11,20.83
Spanaway,2020-06-29,48.2,61.0,71.2,29.99,50.9,0.0,10.0,,6.44,13.81,
Spanaway,2020-06-30,48.4,60.5,71.6,30.00,49.7,0.0,10.0,,13.69,19.68,28.88
Spanaway,2020-07-01,52.9,57.6,65.8,29.99,48.4,0.0,10.0,,13.23,18.3,23.02
Spanaway,2020-07-02,52.9,58.6,66.4,30.00,49.4,0.0,10.0,,12.2,19.68,25.32
Spanaway,2020-07-03,53.4,59.0,66.4,30.06,48.8,0.0,10.0,,6.67,11.39,
Spanaway,2020-07-04,48.7,60.0,71.2,30.18,49.1,0.0,10.0,,3.8,9.21,
Spanaway,2020-07-05,48.7,63.6,73.4,30.19,49.2,0.0,8.7,,4.6,10.24,
Spanaway,2020-07-06,49.3,61.9,73.4,30.09,48.0,0.0,10.0,,7.48,14.96,21.86
Spanaway,2020-07-07,49.3,59.8,71.1,30.07,50.8,0.0,9.8,,10.36,13.81,20.83
Spanaway,2020-07-08,54.5,62.4,72.5,30.11,51.7,0.0,10.0,,5.75,12.77,
Spanaway,2020-07-09,54.7,62.0,72.7,30.03,52.2,0.0,10.0,,5.41,13.81,
Spanaway,2020-07-10,49.3,62.3,72.3,30.16,50.1,0.0,10.0,,6.1,12.77,18.3
Spanaway,2020-07-11,46.4,60.6,73.0,30.13,50.1,0.0,9.9,,5.52,16.11,24.17
Spanaway,2020-07-12,46.4,63.4,72.7,30.15,52.1,0.0,10.0,,8.29,13.81,18.3
Spanaway,2020-07-13,44.6,62.6,74.5,30.14,45.7,0.0,9.9,,4.49,10.24,
Spanaway,2020-07-14,43.9,63.8,78.8,30.15,44.1,0.0,10.0,,5.52,14.96,20.83
Spanaway,2020-07-15,43.9,67.6,83.1,30.14,45.9,0.0,10.0,,3.8,11.39,
Spanaway,2020-07-16,48.7,68.3,83.1,30.05,55.5,0.0,9.4,,4.83,10.24,
Spanaway,2020-07-17,56.1,66.1,79.2,30.06,54.5,0.0,10.0,,7.94,12.77,
Spanaway,2020-07-18,47.7,64.7,79.0,30.19,50.4,0.0,10.0,,6.9,14.96,21.86
Spanaway,2020-07-19,47.7,69.1,83.3,30.12,53.4,0.0,10.0,,4.95,13.81,18.3
Spanaway,2020-07-20,52.0,70.9,86.0,30.03,55.8,0.0,10.0,,5.41,14.96,
Spanaway,2020-07-21,53.1,70.7,86.7,29.93,57.3,0.0,10.0,,4.6,9.21,
Spanaway,2020-07-22,58.8,65.7,78.6,29.88,57.2,0.0,10.0,,7.13,11.39,
Spanaway,2020-07-23,56.3,61.4,72.5,29.97,52.6,0.0,10.0,,5.87,9.21,
Spanaway,2020-07-24,50.5,60.7,72.0,30.06,50.3,0.0,10.0,,4.95,9.21,
Spanaway,2020-07-25,46.6,63.5,77.2,30.14,48.5,0.0,10.0,,5.52,14.96,20.83
