location,date,Minimum Temperature,Mean Temperature,Maximum Temperature,Mean Sea Level Pressure,Mean Dew Point,Total Precipitation,Visibility,Snow Depth,Mean Wind Speed,Maximum Sustained Wind Speed,Maximum Wind Gust
Tumwater,2020-06-01,39.9,53.6,70.0,30.14,42.1,0.0,10.0,,1.96,8.06,
Tumwater,2020-06-02,39.9,56.0,70.0,30.20,42.9,0.0,10.0,,3.91,12.77,18.3
Tumwater,2020-06-03,41.0,54.7,68.0,30.21,47.2,0.01,10.0,,2.07,8.06,
Tumwater,2020-06-04,46.0,57.7,69.1,30.11,46.0,0.0,10.0,,4.37,8.06,
Tumwater,2020-06-05,46.9,58.7,69.1,29.85,46.9,0.0,10.0,,5.18,11.39,
Tumwater,2020-06-06,50.0,54.7,68.0,29.78,45.3,0.0,9.3,,8.17,11.39,17.26
Tumwater,2020-06-07,46.0,52.6,64.0,29.92,46.4,0.21,10.0,,8.4,17.26,23.02
Tumwater,2020-06-08,46.0,55.5,64.0,30.16,44.3,0.01,10.0,,10.59,17.26,21.86
Tumwater,2020-06-09,50.0,54.6,64.0,30.12,48.8,0.42,7.3,,10.01,19.68,23.02
Tumwater,2020-06-10,54.0,57.4,64.9,30.13,54.6,0.42,7.9,,3.57,13.81,21.86
Tumwater,2020-06-11,55.0,63.1,73.0,30.07,52.2,0.05,9.7,,3.8,8.06,
Tumwater,2020-06-12,54.0,59.6,73.0,30.01,51.4,0.09,9.6,,4.6,8.06,
Tumwater,2020-06-13,51.1,54.1,62.1,29.97,49.4,0.15,9.0,,6.21,11.39,
Tumwater,2020-06-14,45.0,53.3,64.0,30.00,45.6,0.13,10.0,,6.67,12.77,20.83
Tumwater,2020-06-15,45.0,57.3,64.0,29.94,49.3,0.2,8.0,,4.49,13.81,21.86
Tumwater,2020-06-16,50.0,56.1,68.0,30.02,47.1,0.39,10.0,,4.83,12.77,
Tumwater,2020-06-17,44.1,57.7,72.0,30.24,47.6,0.02,9.5,,3.68,10.24,
Tumwater,2020-06-18,44.1,60.2,77.0,30.24,49.2,0.0,9.6,,3.34,10.24,
Tumwater,2020-06-19,44.1,66.9,82.9,30.01,51.5,0.0,10.0,,2.76,9.21,
Tumwater,2020-06-20,51.1,65.5,82.9,29.92,54.0,0.0,9.1,,5.98,13.81,20.83
Tumwater,2020-06-21,57.0,61.4,70.0,30.09,53.7,0.12,10.0,,7.36,10.24,17.26
Tumwater,2020-06-22,45.0,60.0,81.0,30.20,47.9,0.0,10.0,,3.8,9.21,
Tumwater,2020-06-23,45.0,70.0,84.9,30.07,48.1,0.0,10.0,,4.03,8.06,
Tumwater,2020-06-24,52.0,68.2,84.9,29.94,56.6,0.0,10.0,,6.67,13.81,
Tumwater,2020-06-25,52.0,63.7,80.1,30.05,54.1,0.0,9.4,,4.37,10.24,
Tumwater,2020-06-26,52.0,68.0,82.9,30.03,55.6,0.0,8.9,,4.49,13.81,
Tumwater,2020-06-27,52.0,62.0,82.9,29.99,51.1,0.0,10.0,,9.78,16.11,25.32
Tumwater,2020-06-28,53.6,58.5,71.1,29.91,47.3,0.0,10.0,,6.67,16.11,18.3
Tumwater,2020-06-29,48.9,60.6,72.0,29.97,50.3,0.0,10.0,,6.44,16.11,24.17
Tumwater,2020-06-30,48.9,59.1,71.1,30.00,50.0,0.0,10.0,,11.16,16.11,21.86
Tumwater,2020-07-01,51.1,55.9,64.0,29.99,49.2,0.0,9.0,,10.47,17.26,23.02
Tumwater,2020-07-02,51.1,56.8,66.0,30.00,50.5,0.02,10.0,,9.9,14.96,19.68
