location,date,Minimum Temperature,Mean Temperature,Maximum Temperature,Mean Sea Level Pressure,Mean Dew Point,Total Precipitation,Visibility,Snow Depth,Mean Wind Speed,Maximum Sustained Wind Speed,Maximum Wind Gust
University%20Place,2020-06-01,45.0,54.2,66.0,30.14,43.2,0.03,10.0,,4.37,11.39,
University%20Place,2020-06-02,45.0,55.6,66.0,30.20,44.1,0.0,9.8,,3.68,8.06,
University%20Place,2020-06-03,46.0,53.8,64.9,30.21,46.6,0.04,10.0,,3.8,9.21,
University%20Place,2020-06-04,48.9,56.8,66.0,30.11,46.1,0.0,10.0,,4.14,9.21,
University%20Place,2020-06-05,48.0,55.8,66.0,29.83,45.9,0.0,10.0,,5.64,13.81,
University%20Place,2020-06-06,48.0,54.0,66.0,29.78,45.8,0.0,10.0,,9.09,12.77,17.26
University%20Place,2020-06-07,46.9,50.7,62.1,29.92,47.3,0.07,9.4,,7.36,10.24,
University%20Place,2020-06-08,46.9,54.4,61.0,30.15,44.7,0.18,10.0,,10.59,16.11,23.02
University%20Place,2020-06-09,48.9,53.5,62.1,30.12,48.3,0.2,7.3,,4.72,12.77,20.83
University%20Place,2020-06-10,48.9,57.8,68.0,30.12,54.4,0.5,8.8,,4.03,11.39,
University%20Place,2020-06-11,53.1,59.8,69.1,30.07,52.0,0.02,10.0,,4.14,8.06,
University%20Place,2020-06-12,51.1,57.6,70.0,30.01,50.5,0.06,9.8,,5.18,9.21,
University%20Place,2020-06-13,50.0,54.0,62.1,29.96,49.1,0.21,9.8,,6.9,13.81,
University%20Place,2020-06-14,46.9,53.3,63.0,30.00,45.2,0.04,10.0,,8.52,11.39,
University%20Place,2020-06-15,46.9,55.5,63.0,29.93,48.6,0.06,8.9,,4.14,11.39,18.3
University%20Place,2020-06-16,48.9,54.1,64.0,30.03,46.8,0.29,10.0,,5.18,10.24,20.83
University%20Place,2020-06-17,48.9,57.0,71.1,30.24,47.2,0.01,9.7,,4.26,10.24,
University%20Place,2020-06-18,48.9,60.5,73.0,30.24,49.9,0.0,10.0,,3.8,10.24,
University%20Place,2020-06-19,48.9,65.4,78.1,30.01,50.8,0.0,10.0,,2.3,5.87,
University%20Place,2020-06-20,52.0,63.7,78.1,29.93,54.2,0.0,8.7,,4.37,11.39,
University%20Place,2020-06-21,55.0,59.9,69.1,30.09,53.4,0.05,9.5,,7.25,10.24,16.11
University%20Place,2020-06-22,48.0,60.3,75.9,30.20,48.3,0.0,10.0,,3.91,9.21,
University%20Place,2020-06-23,48.0,66.6,82.9,30.06,47.6,0.0,10.0,,5.06,11.39,
University%20Place,2020-06-24,54.0,65.9,82.9,29.93,56.3,0.0,10.0,,6.33,13.81,25.32
University%20Place,2020-06-25,54.0,63.2,77.0,30.04,55.2,0.0,8.5,,4.37,11.39,
University%20Place,2020-06-26,54.0,66.1,79.0,30.03,54.8,0.0,10.0,,4.49,9.21,
University%20Place,2020-06-27,54.0,60.2,79.0,29.98,52.2,0.0,9.7,,7.36,13.81,20.83
University%20Place,2020-06-28,51.1,55.6,66.0,29.89,49.2,0.18,9.0,,6.21,13.81,21.86
University%20Place,2020-06-29,51.1,59.6,69.1,29.97,51.1,0.0,10.0,,5.75,10.24,18.3
University%20Place,2020-06-30,52.0,58.1,69.1,29.98,49.5,0.0,10.0,,10.59,14.96,23.02
University%20Place,2020-07-01,51.1,56.1,64.9,29.97,48.0,0.0,10.0,,11.74,14.96,23.02
University%20Place,2020-07-02,51.1,56.2,64.9,29.99,49.2,0.0,9.9,,12.08,16.11,23.02
University%20Place,2020-07-03,53.1,57.0,64.0,30.05,49.1,0.0,10.0,,5.52,9.21,
University%20Place,2020-07-04,51.1,58.6,70.0,30.16,49.3,0.0,10.0,,2.65,8.06,
University%20Place,2020-07-05,51.1,61.5,72.0,30.17,48.9,0.0,9.8,,3.57,6.9,
University%20Place,2020-07-06,52.0,60.4,72.0,30.07,48.3,0.0,10.0,,6.1,10.24,
University%20Place,2020-07-07,52.0,58.3,68.0,30.06,50.2,0.0,10.0,,10.13,13.81,20.83
University%20Place,2020-07-08,53.1,58.9,70.0,30.10,52.8,0.16,9.8,,3.45,10.24,
University%20Place,2020-07-09,53.1,60.8,71.1,30.02,52.0,0.0,10.0,,4.72,9.21,
University%20Place,2020-07-10,51.1,60.0,71.1,30.12,49.7,0.0,10.0,,5.41,10.24,
University%20Place,2020-07-11,50.0,59.8,71.1,30.12,50.1,0.0,10.0,,4.37,11.39,18.3
University%20Place,2020-07-12,50.0,60.3,69.1,30.14,52.1,0.0,9.7,,6.56,9.21,
University%20Place,2020-07-13,53.1,60.5,71.1,30.13,46.9,0.0,10.0,,7.13,13.81,
University%20Place,2020-07-14,50.0,63.2,75.9,30.13,46.7,0.0,10.0,,5.52,13.81,20.83
University%20Place,2020-07-15,50.0,66.6,79.0,30.12,48.1,0.0,10.0,,4.83,11.39,
University%20Place,2020-07-16,54.0,64.4,79.0,30.04,55.5,0.0,8.2,,5.75,11.39,16.11
University%20Place,2020-07-17,55.0,62.2,75.9,30.04,55.0,0.0,9.5,,5.75,9.21,
University%20Place,2020-07-18,51.1,62.8,75.0,30.18,51.9,0.0,10.0,,4.37,13.81,18.3
University%20Place,2020-07-19,51.1,68.6,81.0,30.10,53.3,0.0,10.0,,6.33,11.39,19.68
University%20Place,2020-07-20,55.9,70.0,81.0,30.02,56.4,0.0,10.0,,5.98,12.77,
University%20Place,2020-07-21,57.0,67.8,81.0,29.91,57.0,0.0,10.0,,4.72,9.21,
University%20Place,2020-07-22,55.4,61.8,75.0,29.87,56.8,0.0,8.0,,5.52,9.21,
University%20Place,2020-07-23,54.0,58.8,69.1,29.95,52.8,0.0,9.9,,5.98,9.21,
University%20Place,2020-07-24,52.0,58.4,71.1,30.04,50.4,0.0,10.0,,5.06,6.9,
