location,date,Minimum Temperature,Mean Temperature,Maximum Temperature,Mean Sea Level Pressure,Mean Dew Point,Total Precipitation,Visibility,Snow Depth,Mean Wind Speed,Maximum Sustained Wind Speed,Maximum Wind Gust
Walla%20Walla,2020-06-01,50.0,59.6,73.0,30.01,43.2,0.01,10.0,,6.1,9.21,
Walla%20Walla,2020-06-02,46.9,63.7,77.0,30.11,39.1,0.0,10.0,,4.37,9.21,
Walla%20Walla,2020-06-03,46.9,64.5,77.0,30.07,43.3,0.0,10.0,,5.29,10.24,
Walla%20Walla,2020-06-04,48.9,64.4,75.9,29.96,39.4,0.0,10.0,,9.09,14.96,16.11
Walla%20Walla,2020-06-05,53.1,62.5,73.9,29.72,46.8,0.0,10.0,,4.49,11.39,
Walla%20Walla,2020-06-06,53.1,59.4,70.0,29.70,45.7,0.08,10.0,,10.01,17.26,21.86
Walla%20Walla,2020-06-07,48.0,54.8,68.0,29.80,37.6,0.0,10.0,,13.92,19.68,28.88
Walla%20Walla,2020-06-08,48.0,56.0,66.9,30.06,39.2,0.03,10.0,,14.5,20.83,28.88
Walla%20Walla,2020-06-09,48.9,57.4,69.1,30.16,43.6,0.0,9.8,,7.94,20.83,28.88
Walla%20Walla,2020-06-10,51.1,67.9,82.9,30.11,52.3,0.06,10.0,,5.41,9.21,
Walla%20Walla,2020-06-11,59.0,71.6,84.0,29.96,52.7,0.0,10.0,,5.98,11.39,
Walla%20Walla,2020-06-12,61.0,68.9,84.0,29.88,54.0,0.0,10.0,,5.41,9.21,
Walla%20Walla,2020-06-13,48.9,58.2,80.1,29.85,47.3,0.04,8.8,,13.12,23.02,31.07
Walla%20Walla,2020-06-14,48.0,56.6,66.9,29.96,40.5,0.4,10.0,,14.38,18.3,34.41
Walla%20Walla,2020-06-15,48.0,58.1,66.9,29.94,43.8,0.0,10.0,,7.13,12.77,20.83
Walla%20Walla,2020-06-16,50.0,57.0,66.9,29.96,44.5,0.07,10.0,,9.67,12.77,21.86
Walla%20Walla,2020-06-17,50.0,60.5,75.0,30.10,43.4,0.0,10.0,,9.55,13.81,21.86
Walla%20Walla,2020-06-18,51.1,66.7,81.0,30.13,46.4,0.0,10.0,,6.67,11.39,
Walla%20Walla,2020-06-19,55.0,71.7,87.1,29.96,46.2,0.0,10.0,,5.41,11.39,
Walla%20Walla,2020-06-20,55.9,73.7,87.1,29.87,48.9,0.0,10.0,,8.63,16.11,
Walla%20Walla,2020-06-21,59.0,69.5,82.9,29.98,49.9,0.01,10.0,,11.62,16.11,25.32
Walla%20Walla,2020-06-22,55.0,70.7,84.9,30.08,43.9,0.0,10.0,,6.9,11.39,
Walla%20Walla,2020-06-23,55.0,75.9,95.0,29.99,51.0,0.0,10.0,,4.95,9.21,
Walla%20Walla,2020-06-24,59.0,79.7,95.0,29.79,53.2,0.0,10.0,,9.09,18.3,27.73
Walla%20Walla,2020-06-25,61.0,74.3,91.0,29.91,50.4,0.0,10.0,,9.44,17.26,24.17
Walla%20Walla,2020-06-26,61.0,78.4,93.9,29.90,53.8,0.0,10.0,,7.48,14.96,18.3
Walla%20Walla,2020-06-27,63.0,76.0,93.9,29.79,49.8,0.0,10.0,,11.62,19.68,25.32
Walla%20Walla,2020-06-28,53.1,60.6,82.0,29.74,41.2,0.0,10.0,,12.31,20.83,32.22
Walla%20Walla,2020-06-29,53.1,61.4,78.1,29.80,47.1,0.01,10.0,,9.21,16.11,24.17
Walla%20Walla,2020-06-30,54.0,67.4,79.0,29.83,46.4,0.0,10.0,,15.65,24.17,36.94
Walla%20Walla,2020-07-01,54.0,62.0,77.0,29.87,39.7,0.0,10.0,,16.57,21.86,31.07
Walla%20Walla,2020-07-02,53.1,63.9,79.0,29.92,41.4,0.0,10.0,,13.35,20.83,28.88
Walla%20Walla,2020-07-03,50.0,67.7,82.9,29.93,38.7,0.0,10.0,,6.44,10.24,
Walla%20Walla,2020-07-04,50.0,70.0,84.0,30.03,37.5,0.0,10.0,,8.75,13.81,19.68
Walla%20Walla,2020-07-05,55.9,68.8,82.9,30.06,38.5,0.0,10.0,,6.44,10.24,
Walla%20Walla,2020-07-06,55.9,71.1,84.9,29.93,39.9,0.0,10.0,,7.13,12.77,24.17
Walla%20Walla,2020-07-07,55.9,68.2,86.0,29.91,42.5,0.0,10.0,,13.92,24.17,29.92
Walla%20Walla,2020-07-08,57.0,67.6,80.1,30.01,43.9,0.0,10.0,,11.16,17.26,21.86
Walla%20Walla,2020-07-09,57.0,70.0,84.9,29.91,43.2,0.0,10.0,,7.25,11.39,18.3
Walla%20Walla,2020-07-10,57.0,70.4,84.9,30.03,48.9,0.05,10.0,,9.32,17.26,
Walla%20Walla,2020-07-11,55.9,73.9,91.9,30.00,47.3,0.0,10.0,,6.67,12.77,17.26
Walla%20Walla,2020-07-12,55.9,71.7,91.9,30.02,43.4,0.0,10.0,,11.51,18.3,23.02
Walla%20Walla,2020-07-13,55.0,67.3,81.0,30.01,38.8,0.0,10.0,,6.79,11.39,17.26
Walla%20Walla,2020-07-14,51.1,69.3,88.0,30.03,33.0,0.0,10.0,,5.75,11.39,
Walla%20Walla,2020-07-15,51.1,74.7,90.0,30.00,37.0,0.0,10.0,,7.02,11.39,18.3
Walla%20Walla,2020-07-16,55.9,79.6,93.0,29.89,45.3,0.0,10.0,,7.83,12.77,19.68
Walla%20Walla,2020-07-17,63.0,77.2,93.9,29.87,46.4,0.0,10.0,,10.36,14.96,25.32
Walla%20Walla,2020-07-18,59.0,73.0,88.0,30.02,45.1,0.0,10.0,,7.02,12.77,
Walla%20Walla,2020-07-19,59.0,77.7,93.9,29.98,45.8,0.0,10.0,,5.52,9.21,
Walla%20Walla,2020-07-20,60.1,79.9,97.0,29.93,46.7,0.0,10.0,,5.52,10.24,
Walla%20Walla,2020-07-21,63.0,83.5,100.0,29.80,47.5,0.0,10.0,,6.9,16.11,
Walla%20Walla,2020-07-22,64.9,83.6,100.0,29.69,45.4,0.0,10.0,,9.67,14.96,19.68
Walla%20Walla,2020-07-23,68.0,78.3,96.1,29.76,39.2,0.0,10.0,,10.13,13.81,19.68
Walla%20Walla,2020-07-24,59.0,72.9,89.1,29.86,38.5,0.0,10.0,,10.59,19.68,25.32
Walla%20Walla,2020-07-25,55.9,68.8,84.0,30.00,40.7,0.0,9.8,,8.17,11.39,
Walla%20Walla,2020-07-26,55.0,73.7,95.0,30.04,40.6,0.0,10.0,,5.75,10.24,16.11
Walla%20Walla,2020-07-27,55.0,79.7,97.0,29.92,37.6,0.0,10.0,,6.21,9.21,
