location,date,Minimum Temperature,Mean Temperature,Maximum Temperature,Mean Sea Level Pressure,Mean Dew Point,Total Precipitation,Visibility,Snow Depth,Mean Wind Speed,Maximum Sustained Wind Speed,Maximum Wind Gust
Wenatchee,2020-06-01,48.9,59.3,75.0,30.00,34.8,0.0,10.0,,11.05,23.02,
Wenatchee,2020-06-02,48.0,61.7,78.1,30.09,35.4,0.0,10.0,,9.9,20.83,
Wenatchee,2020-06-03,48.0,63.1,78.1,30.06,35.1,0.0,9.6,,11.97,25.32,33.26
Wenatchee,2020-06-04,53.1,65.4,79.0,29.92,33.0,0.0,10.0,,15.88,25.32,29.92
Wenatchee,2020-06-05,53.1,62.2,73.9,29.76,38.6,0.0,10.0,,9.09,17.26,
Wenatchee,2020-06-06,48.9,59.8,71.1,29.64,38.1,0.0,10.0,,12.31,26.35,34.41
Wenatchee,2020-06-07,48.9,58.4,70.0,29.72,35.4,0.0,10.0,,16.34,29.92,40.28
Wenatchee,2020-06-08,48.9,59.8,70.0,29.97,32.8,0.0,10.0,,18.76,34.41,39.13
Wenatchee,2020-06-09,48.9,55.3,68.0,30.10,40.8,0.0,10.0,,8.75,21.86,26.35
Wenatchee,2020-06-10,48.9,60.8,75.0,30.11,48.2,0.02,,,7.94,12.77,
Wenatchee,2020-06-11,50.0,65.9,77.0,29.99,50.0,0.0,,,9.32,18.3,
Wenatchee,2020-06-12,55.0,65.1,78.1,29.91,49.2,0.06,,,11.51,29.92,37.98
Wenatchee,2020-06-13,55.0,61.5,78.1,29.78,39.2,0.0,,,15.42,28.88,36.94
Wenatchee,2020-06-14,48.9,58.0,70.0,29.86,35.3,0.0,10.0,,14.5,19.68,27.73
Wenatchee,2020-06-15,48.9,57.5,69.1,29.90,39.4,0.0,9.8,,9.09,20.83,
Wenatchee,2020-06-16,50.0,57.8,69.1,29.91,41.1,0.08,10.0,,8.29,13.81,
Wenatchee,2020-06-17,50.0,64.5,81.0,30.07,41.3,0.0,10.0,,14.15,21.86,26.35
Wenatchee,2020-06-18,54.0,68.8,84.9,30.11,42.3,0.0,10.0,,13.46,26.35,32.22
Wenatchee,2020-06-19,57.0,74.5,88.0,29.93,46.3,0.0,10.0,,8.06,12.77,19.68
Wenatchee,2020-06-20,62.1,74.1,88.0,29.84,49.3,0.0,10.0,,7.13,14.96,
Wenatchee,2020-06-21,60.1,71.0,84.0,29.91,46.8,0.0,10.0,,13.12,19.68,26.35
Wenatchee,2020-06-22,59.0,71.3,89.1,30.05,42.1,0.0,10.0,,12.2,21.86,
Wenatchee,2020-06-23,59.0,78.7,93.0,29.97,50.4,0.0,10.0,,7.83,11.39,
Wenatchee,2020-06-24,66.9,81.4,93.0,29.77,49.9,0.0,10.0,,10.01,23.02,32.22
Wenatchee,2020-06-25,63.0,75.0,91.0,29.91,46.2,0.0,10.0,,14.15,28.88,37.98
Wenatchee,2020-06-26,63.0,81.3,93.9,29.86,47.8,0.0,10.0,,13.81,23.02,29.92
Wenatchee,2020-06-27,66.0,72.9,93.9,29.77,43.9,0.0,10.0,,19.45,31.07,40.28
Wenatchee,2020-06-28,55.0,62.6,77.0,29.70,39.3,0.0,10.0,,16.92,26.35,34.41
Wenatchee,2020-06-29,55.0,69.3,86.0,29.79,43.6,0.0,10.0,,14.5,21.86,24.17
Wenatchee,2020-06-30,59.0,71.0,86.0,29.75,41.6,0.0,10.0,,20.25,32.22,41.31
Wenatchee,2020-07-01,54.0,63.4,78.1,29.78,39.6,0.0,10.0,,16.11,32.22,44.88
Wenatchee,2020-07-02,54.0,64.3,77.0,29.82,41.2,0.0,10.0,,11.85,18.3,21.86
Wenatchee,2020-07-03,50.0,65.0,81.0,29.92,39.0,0.0,10.0,,11.51,18.3,26.35
Wenatchee,2020-07-04,50.0,67.6,81.0,30.02,39.9,0.0,10.0,,12.31,19.68,
Wenatchee,2020-07-05,55.9,69.1,82.9,30.04,41.7,0.0,10.0,,10.47,20.83,
Wenatchee,2020-07-06,57.9,72.6,84.9,29.90,45.6,0.0,10.0,,10.13,16.11,
Wenatchee,2020-07-07,60.1,69.3,84.9,29.84,41.4,0.0,10.0,,19.22,29.92,37.98
Wenatchee,2020-07-08,53.1,65.6,80.1,29.97,40.6,0.0,10.0,,11.39,31.07,39.13
Wenatchee,2020-07-09,53.1,70.0,81.0,29.89,44.8,0.0,10.0,,10.24,21.86,
Wenatchee,2020-07-10,57.0,68.9,84.0,29.94,44.7,0.0,10.0,,10.24,17.26,25.32
Wenatchee,2020-07-11,57.9,73.5,89.1,29.96,44.6,0.0,10.0,,8.06,20.83,28.88
Wenatchee,2020-07-12,57.9,69.1,89.1,29.97,41.7,0.0,10.0,,10.82,23.02,29.92
Wenatchee,2020-07-13,54.0,65.8,81.0,30.02,36.1,0.0,10.0,,11.05,26.35,32.22
Wenatchee,2020-07-14,54.0,71.7,87.1,30.02,39.7,0.0,10.0,,7.83,11.39,
Wenatchee,2020-07-15,57.9,78.9,93.9,29.96,41.9,0.0,10.0,,12.54,21.86,24.17
Wenatchee,2020-07-16,64.9,80.6,93.9,29.86,47.9,0.0,10.0,,13.92,23.02,26.35
Wenatchee,2020-07-17,64.9,77.3,93.0,29.85,47.1,0.0,10.0,,16.23,21.86,31.07
