location,date,Minimum Temperature,Mean Temperature,Maximum Temperature,Mean Sea Level Pressure,Mean Dew Point,Total Precipitation,Visibility,Snow Depth,Mean Wind Speed,Maximum Sustained Wind Speed,Maximum Wind Gust
White%20Center,2020-06-01,50.0,57.8,68.0,30.14,44.0,0.01,10.0,,2.53,6.9,
White%20Center,2020-06-02,50.0,59.3,68.0,30.19,45.0,0.0,10.0,,3.22,9.21,
White%20Center,2020-06-03,50.0,58.0,66.0,30.21,46.9,0.0,10.0,,3.22,8.06,
White%20Center,2020-06-04,54.0,60.1,69.1,30.10,42.8,0.0,10.0,,3.68,6.9,
White%20Center,2020-06-05,52.0,58.9,69.1,29.83,46.0,0.0,10.0,,2.99,8.06,
White%20Center,2020-06-06,52.0,58.3,66.9,29.76,45.7,0.0,10.0,,7.13,12.77,20.83
White%20Center,2020-06-07,51.1,55.5,64.9,29.91,47.3,0.0,9.9,,5.29,9.21,18.3
White%20Center,2020-06-08,51.1,58.2,64.9,30.13,44.5,0.0,10.0,,9.09,12.77,25.32
White%20Center,2020-06-09,52.0,56.9,64.9,30.12,50.7,0.0,7.9,,7.48,11.39,
White%20Center,2020-06-10,52.0,61.5,73.0,30.11,56.1,0.05,9.1,,4.83,12.77,18.3
White%20Center,2020-06-11,55.9,63.2,73.0,30.06,52.6,0.03,9.8,,3.91,9.21,
White%20Center,2020-06-12,54.0,60.1,72.0,30.00,49.8,0.05,9.9,,5.29,12.77,
White%20Center,2020-06-13,53.1,57.3,64.0,29.95,49.8,0.22,9.9,,4.37,16.11,25.32
White%20Center,2020-06-14,51.1,56.7,66.9,29.99,44.6,0.01,10.0,,8.17,16.11,25.32
White%20Center,2020-06-15,51.1,59.3,66.9,29.93,48.5,0.0,9.9,,6.9,14.96,21.86
White%20Center,2020-06-16,52.0,57.7,66.9,30.01,47.1,0.03,10.0,,5.87,12.77,19.68
White%20Center,2020-06-17,51.1,61.2,73.0,30.23,47.4,0.0,9.9,,4.37,8.06,
White%20Center,2020-06-18,51.1,64.1,75.0,30.23,49.5,0.0,10.0,,4.03,10.24,18.3
White%20Center,2020-06-19,54.0,68.6,80.1,30.01,50.3,0.0,10.0,,3.11,8.06,
White%20Center,2020-06-20,57.9,68.1,80.1,29.92,54.2,0.0,10.0,,6.79,12.77,23.02
White%20Center,2020-06-21,57.9,64.0,73.9,30.07,53.6,0.01,10.0,,6.79,11.39,19.68
White%20Center,2020-06-22,55.0,63.7,78.1,30.19,48.0,0.0,10.0,,3.57,9.21,
White%20Center,2020-06-23,55.0,69.8,82.0,30.06,47.2,0.0,10.0,,3.8,9.21,
White%20Center,2020-06-24,60.1,69.0,82.0,29.93,56.0,0.0,10.0,,5.18,12.77,20.83
White%20Center,2020-06-25,60.1,67.7,78.1,30.04,55.0,0.0,10.0,,4.49,9.21,
White%20Center,2020-06-26,60.1,70.7,82.0,30.03,53.0,0.0,10.0,,4.14,12.77,
White%20Center,2020-06-27,55.9,61.9,82.0,29.98,53.1,0.0,8.4,,4.72,9.21,16.11
White%20Center,2020-06-28,53.1,58.1,69.1,29.88,50.2,0.41,9.0,,4.37,10.24,
White%20Center,2020-06-29,53.1,62.5,72.0,29.96,51.3,0.09,10.0,,5.75,11.39,21.86
White%20Center,2020-06-30,55.0,60.1,72.0,29.97,51.0,0.0,8.2,,8.63,12.77,19.68
White%20Center,2020-07-01,55.0,59.1,66.9,29.96,48.2,0.0,10.0,,10.01,12.77,20.83
White%20Center,2020-07-02,55.0,59.7,68.0,29.97,48.7,0.0,10.0,,10.36,12.77,23.02
White%20Center,2020-07-03,57.0,61.1,68.0,30.04,48.7,0.0,10.0,,6.33,9.21,17.26
White%20Center,2020-07-04,55.0,61.4,71.1,30.16,50.2,0.0,10.0,,3.34,9.21,
White%20Center,2020-07-05,55.0,64.1,75.0,30.17,48.3,0.0,9.7,,2.88,8.06,
White%20Center,2020-07-06,55.0,64.1,75.0,30.06,48.3,0.0,10.0,,5.29,11.39,
White%20Center,2020-07-07,55.9,62.2,72.0,30.04,49.9,0.0,10.0,,8.4,12.77,18.3
White%20Center,2020-07-08,57.0,63.6,73.9,30.09,52.2,0.0,9.8,,3.22,10.24,
White%20Center,2020-07-09,59.0,64.9,73.9,30.01,52.5,0.0,10.0,,4.6,9.21,17.26
White%20Center,2020-07-10,54.0,63.0,73.0,30.11,50.4,0.0,10.0,,4.6,10.24,
White%20Center,2020-07-11,54.0,63.9,73.9,30.11,51.2,0.0,10.0,,4.37,11.39,
White%20Center,2020-07-12,55.9,62.9,73.0,30.13,52.6,0.0,9.3,,6.9,16.11,20.83
White%20Center,2020-07-13,55.0,63.8,75.0,30.13,46.6,0.02,10.0,,5.29,9.21,19.68
White%20Center,2020-07-14,55.0,66.8,79.0,30.13,47.1,0.0,10.0,,4.37,12.77,19.68
White%20Center,2020-07-15,55.9,70.7,82.0,30.12,47.7,0.0,10.0,,4.03,9.21,16.11
White%20Center,2020-07-16,60.1,69.9,82.0,30.03,56.1,0.0,10.0,,4.03,8.06,
White%20Center,2020-07-17,57.9,65.3,77.0,30.02,57.0,0.01,7.5,,3.11,8.06,
White%20Center,2020-07-18,55.9,65.8,79.0,30.18,51.8,0.05,10.0,,3.91,9.21,23.02
White%20Center,2020-07-19,55.9,71.2,82.9,30.10,54.4,0.0,10.0,,4.26,11.39,18.3
White%20Center,2020-07-20,60.1,73.6,84.9,30.02,57.4,0.0,10.0,,3.91,10.24,18.3
White%20Center,2020-07-21,63.0,73.8,86.0,29.91,57.6,0.0,10.0,,4.37,9.21,
White%20Center,2020-07-22,60.1,67.5,81.0,29.86,57.3,0.0,9.6,,5.41,9.21,
White%20Center,2020-07-23,59.0,64.4,72.0,29.95,53.8,0.0,10.0,,6.21,11.39,
White%20Center,2020-07-24,57.0,63.2,70.0,30.03,51.7,0.0,9.7,,6.1,10.24,
White%20Center,2020-07-25,55.9,64.9,75.9,30.13,49.1,0.0,10.0,,4.83,10.24,17.26
White%20Center,2020-07-26,55.9,69.9,82.9,30.09,50.5,0.0,10.0,,4.83,13.81,18.3
White%20Center,2020-07-27,60.1,76.3,93.0,29.91,54.5,0.0,9.9,,3.11,9.21,
